param_id,side,label,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,exit_label
R0336,short,S-0.5,2026-06-11T14:30:00+00:00,2026-06-11T14:35:00+00:00,29102.25,29110.25,29110.25,29066.25,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-11T14:40:00+00:00,2026-06-11T14:45:00+00:00,29098.0,29106.0,29106.0,29062.0,-17.24,-16.0,sl_same_bar,1,XS-0.5
R0336,short,S-0.5,2026-06-11T15:10:00+00:00,2026-06-11T15:15:00+00:00,29042.5,29050.5,29050.5,29006.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-11T23:15:00+00:00,2026-06-11T23:20:00+00:00,29830.75,29806.75,29838.75,29806.75,46.76,48.0,tp,1,XS-0.5
R0336,short,S-0.5,2026-06-11T23:35:00+00:00,2026-06-11T23:40:00+00:00,29826.0,29834.0,29834.0,29802.0,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T01:50:00+00:00,2026-06-12T01:55:00+00:00,29812.5,29820.5,29820.5,29788.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T02:30:00+00:00,2026-06-12T02:35:00+00:00,29797.5,29805.5,29805.5,29773.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T03:05:00+00:00,2026-06-12T03:10:00+00:00,29827.5,29803.5,29835.5,29803.5,46.76,48.0,tp,1,XS-0.5
R0336,short,S-0.5,2026-06-12T03:30:00+00:00,2026-06-12T03:35:00+00:00,29811.0,29819.0,29819.0,29787.0,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T03:40:00+00:00,2026-06-12T03:45:00+00:00,29817.25,29793.25,29825.25,29793.25,46.76,48.0,tp,1,XS-0.5
R0336,short,S-0.5,2026-06-12T03:50:00+00:00,2026-06-12T03:55:00+00:00,29815.25,29823.25,29823.25,29791.25,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T04:00:00+00:00,2026-06-12T04:15:00+00:00,29801.25,29809.25,29809.25,29777.25,-17.24,-16.0,sl,3,XS-0.5
R0336,short,S-0.5,2026-06-12T04:20:00+00:00,2026-06-12T04:25:00+00:00,29803.5,29811.5,29811.5,29779.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T05:40:00+00:00,2026-06-12T05:45:00+00:00,29767.0,29743.0,29775.0,29743.0,46.76,48.0,tp,1,XS-0.5
R0336,short,S-0.5,2026-06-12T11:05:00+00:00,2026-06-12T11:10:00+00:00,29850.5,29858.5,29858.5,29826.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T12:10:00+00:00,2026-06-12T12:15:00+00:00,29883.5,29891.5,29891.5,29859.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T13:40:00+00:00,2026-06-12T13:45:00+00:00,29569.25,29577.25,29577.25,29533.25,-17.24,-16.0,sl_same_bar,1,XS-0.5
R0336,short,S-0.5,2026-06-12T13:55:00+00:00,2026-06-12T14:00:00+00:00,29642.0,29650.0,29650.0,29606.0,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T14:45:00+00:00,2026-06-12T14:50:00+00:00,29666.25,29674.25,29674.25,29630.25,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T15:45:00+00:00,2026-06-12T15:50:00+00:00,29779.75,29787.75,29787.75,29743.75,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T19:10:00+00:00,2026-06-12T19:15:00+00:00,29956.5,29964.5,29964.5,29932.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T19:25:00+00:00,2026-06-12T19:30:00+00:00,29951.25,29959.25,29959.25,29927.25,-17.24,-16.0,sl_same_bar,1,XS-0.5
R0336,short,S-0.5,2026-06-12T19:35:00+00:00,2026-06-12T19:40:00+00:00,29905.5,29913.5,29913.5,29881.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-12T19:45:00+00:00,2026-06-12T19:50:00+00:00,29927.5,29935.5,29935.5,29903.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-15T09:55:00+00:00,2026-06-15T10:00:00+00:00,30549.0,30557.0,30557.0,30513.0,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-15T10:05:00+00:00,2026-06-15T10:10:00+00:00,30555.75,30563.75,30563.75,30531.75,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-15T13:00:00+00:00,2026-06-15T13:05:00+00:00,30573.0,30581.0,30581.0,30537.0,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-15T14:40:00+00:00,2026-06-15T14:45:00+00:00,30715.5,30723.5,30723.5,30679.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-15T17:05:00+00:00,2026-06-15T17:10:00+00:00,30846.0,30854.0,30854.0,30822.0,-17.24,-16.0,sl,1,XS-0.5
