param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0001,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.25,1.0,24,602.0,-2490.479999999987,5475.280000000023,7965.759999999931,0.6873518659864307,2610.23999999999,-4.137009966777387,0.2956810631229236,1.4003322259136213,284.0,-2004.1600000000021,1999.3999999999996,4003.5599999999768,0.4994055290791224,2129.840000000002,-7.056901408450711,0.22887323943661972,1.1549295774647887
R0002,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.5,1.0,24,598.0,-2493.5199999999895,5782.880000000026,8276.399999999932,0.698719249915431,2605.2799999999925,-4.169765886287608,0.31438127090301005,1.4364548494983278,283.0,-2110.9199999999983,2060.9199999999996,4171.8399999999765,0.4940074403620492,2255.3599999999997,-7.459081272084799,0.23674911660777384,1.1625441696113075
R0003,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.25,1.0,24,607.0,-2336.6799999999926,5335.120000000022,7671.79999999993,0.6954195886232788,2449.6799999999953,-3.8495551894563302,0.26688632619439867,1.413509060955519,283.0,-1902.9200000000021,1942.8399999999997,3845.759999999978,0.5051901314694653,1950.800000000002,-6.724098939929336,0.20848056537102475,1.1519434628975265
R0004,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.5,1.0,24,603.0,-2235.719999999996,5453.3200000000215,7689.03999999993,0.7092328821283373,2364.719999999999,-3.707661691542282,0.2603648424543947,1.451077943615257,283.0,-1774.9200000000021,2070.8399999999997,3845.759999999978,0.5384735396904673,1838.800000000002,-6.27180212014135,0.20848056537102475,1.1590106007067138
R0005,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,595.0,-2141.7999999999984,6085.320000000022,8227.119999999928,0.73966588551037,2318.800000000001,-3.5996638655462156,0.2638655462184874,1.5495798319327732,280.0,-1695.200000000002,2325.6000000000013,4020.7999999999765,0.5783923597294107,1854.120000000002,-6.054285714285721,0.21428571428571427,1.2035714285714285
R0006,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.5,1.0,24,591.0,-2148.8399999999983,6434.160000000024,8582.999999999929,0.7496399860188836,2317.840000000001,-3.6359390862944134,0.2808798646362098,1.6023688663282571,278.0,-1888.7200000000023,2325.6000000000013,4214.319999999976,0.5518327986484212,1996.8800000000022,-6.793956834532382,0.2158273381294964,1.2194244604316546
R0007,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,596.0,-1999.0400000000047,5845.16000000002,7844.199999999928,0.7451569312358269,2165.2800000000047,-3.3540939597315518,0.23657718120805368,1.5570469798657718,280.0,-1571.200000000002,2291.800000000001,3862.9999999999777,0.5932694796790097,1667.360000000002,-5.611428571428579,0.19642857142857142,1.207142857142857
R0008,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.5,1.0,24,594.0,-2040.560000000004,5872.6000000000195,7913.159999999927,0.7421308301614113,2226.8000000000043,-3.435286195286202,0.22727272727272727,1.6296296296296295,278.0,-1604.720000000002,2275.520000000001,3880.2399999999775,0.5864379522916144,1720.880000000002,-5.772374100719432,0.18705035971223022,1.2374100719424461
R0009,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.25,1.0,24,585.0,-1834.4000000000049,6521.400000000021,8355.799999999927,0.7804638694080851,1972.0800000000047,-3.135726495726504,0.23931623931623933,1.7008547008547008,277.0,-1551.480000000002,2525.0400000000022,4076.5199999999763,0.6194106738100186,1680.880000000002,-5.601010830324917,0.19494584837545126,1.263537906137184
R0010,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.5,1.0,24,581.0,-1705.4400000000044,6989.000000000023,8694.439999999928,0.8038470562796547,1868.9200000000042,-2.9353528399311606,0.25817555938037867,1.7728055077452667,275.0,-1677.0000000000023,2571.8000000000025,4248.799999999976,0.6053003200903825,1794.4000000000021,-6.098181818181827,0.2,1.28
