param_id,side,label,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,exit_label
R0062,short,S-0.5,2026-06-19T02:35:00+00:00,2026-06-19T04:30:00+00:00,7547.0,7531.0,7559.0,7531.0,796.2,800.0,tp,23,XS-0.5
R0062,short,S-0.5,2026-06-19T05:30:00+00:00,2026-06-19T06:55:00+00:00,7524.25,7542.25,7542.25,7508.25,-903.8,-900.0,sl,17,XS-0.5
R0062,short,S-0.5,2026-06-19T12:45:00+00:00,2026-06-19T12:50:00+00:00,7539.0,7551.0,7551.0,7523.0,-603.8,-600.0,sl,1,XS-0.5
R0062,short,S-0.5,2026-06-19T15:45:00+00:00,2026-06-21T22:00:00+00:00,7563.25,7547.25,7575.25,7547.25,796.2,800.0,tp,15,XS-0.5
R0062,short,S-0.5,2026-06-22T03:20:00+00:00,2026-06-22T05:20:00+00:00,7540.5,7545.0,7552.5,7524.5,-228.8,-225.0,time,24,XS-0.5
R0062,short,S-0.5,2026-06-22T10:40:00+00:00,2026-06-22T11:05:00+00:00,7559.25,7571.25,7571.25,7543.25,-603.8,-600.0,sl,5,XS-0.5
R0062,short,S-0.5,2026-06-22T12:55:00+00:00,2026-06-22T13:30:00+00:00,7568.0,7580.0,7580.0,7552.0,-603.8,-600.0,sl,7,XS-0.5
R0062,short,S-0.5,2026-06-22T15:30:00+00:00,2026-06-22T17:30:00+00:00,7542.0,7541.0,7560.0,7526.0,46.2,50.0,time,24,XS-0.5
R0062,short,S-0.5,2026-06-22T23:35:00+00:00,2026-06-23T00:40:00+00:00,7528.75,7540.75,7540.75,7512.75,-603.8,-600.0,sl,13,XS-0.5
R0062,short,S-0.5,2026-06-23T01:30:00+00:00,2026-06-23T01:50:00+00:00,7529.75,7513.75,7541.75,7513.75,796.2,800.0,tp,4,XS-0.5
R0062,short,S-0.5,2026-06-23T07:10:00+00:00,2026-06-23T07:50:00+00:00,7452.0,7436.0,7470.0,7436.0,796.2,800.0,tp,8,XS-0.5
R0062,short,S-0.5,2026-06-23T08:35:00+00:00,2026-06-23T10:35:00+00:00,7432.0,7432.75,7450.0,7416.0,-41.3,-37.5,time,24,XS-0.5
R0062,short,S-0.5,2026-06-23T11:00:00+00:00,2026-06-23T11:20:00+00:00,7435.0,7447.0,7447.0,7419.0,-603.8,-600.0,sl,4,XS-0.5
R0062,short,S-0.5,2026-06-23T15:50:00+00:00,2026-06-23T16:10:00+00:00,7453.0,7471.0,7471.0,7437.0,-903.8,-900.0,sl,4,XS-0.5
R0062,short,S-0.5,2026-06-24T01:35:00+00:00,2026-06-24T02:50:00+00:00,7450.0,7434.0,7462.0,7434.0,796.2,800.0,tp,15,XS-0.5
R0062,short,S-0.5,2026-06-24T06:10:00+00:00,2026-06-24T08:10:00+00:00,7452.0,7452.25,7464.0,7436.0,-16.3,-12.5,time,24,XS-0.5
R0062,short,S-0.5,2026-06-24T08:45:00+00:00,2026-06-24T10:40:00+00:00,7445.0,7457.0,7457.0,7429.0,-603.8,-600.0,sl,23,XS-0.5
R0062,short,S-0.5,2026-06-24T10:55:00+00:00,2026-06-24T11:45:00+00:00,7449.0,7461.0,7461.0,7433.0,-603.8,-600.0,sl,10,XS-0.5
