param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0062,10,1.5,12,0.5,pullback,short,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.5,1.0,24,64.0,6256.799999999995,23650.700000000015,17393.89999999999,1.3597123129372957,5192.300000000003,97.76249999999992,0.5625,12.984375,18.0,-2293.399999999999,4027.2,6320.600000000001,0.6371547005031166,3089.5999999999995,-127.41111111111107,0.3333333333333333,13.61111111111111
R0486,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,10.0,20.0,96,0.7,1.5,1.0,24,61.0,6043.199999999994,22898.500000000015,16855.29999999999,1.3585341109324682,2765.2,99.0688524590163,0.4918032786885246,12.885245901639344,16.0,-3398.3,2776.1000000000004,6174.4000000000015,0.44961453744493385,4182.0,-212.39375,0.1875,14.0625
R0050,10,1.5,12,0.5,pullback,short,atr_sl_fixed_tp,10.0,16.0,96,0.7,1.5,1.0,24,65.0,5940.499999999993,22808.300000000014,16867.79999999999,1.3521798930506663,4167.300000000004,91.39230769230758,0.5230769230769231,12.107692307692307,19.0,-2984.7000000000003,3981.0,6965.700000000002,0.5715147077824194,3780.9000000000005,-157.08947368421053,0.2631578947368421,12.157894736842104
R0498,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,12.0,20.0,96,0.7,1.5,1.0,24,58.0,5954.599999999995,22898.500000000015,16943.89999999999,1.351430308252529,3206.500000000001,102.66551724137922,0.5172413793103449,14.03448275862069,15.0,-2507.0,2822.3,5329.300000000001,0.5295817461955603,3290.7,-167.13333333333333,0.26666666666666666,15.4
R0497,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,12.0,20.0,96,0.7,1.25,1.0,24,60.0,5796.999999999995,22898.500000000015,17101.49999999999,1.3389761132064455,2906.500000000001,96.61666666666659,0.5,13.416666666666666,16.0,-3898.3,2776.1000000000004,6674.4000000000015,0.41593251827879657,4682.0,-243.64375,0.1875,14.0625
R0206,10,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.5,1.0,24,63.0,5760.599999999994,23808.300000000014,18047.69999999999,1.3191874864941253,3206.500000000001,91.43809523809514,0.5396825396825397,12.80952380952381,16.0,-3798.3,2434.8,6233.100000000001,0.39062424796650136,4594.5,-237.39375,0.25,16.625
R0061,10,1.5,12,0.5,pullback,short,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.25,1.0,24,65.0,5302.999999999994,22854.500000000015,17551.49999999999,1.3021394182833392,4442.300000000004,81.58461538461529,0.5384615384615384,12.692307692307692,19.0,-3684.7000000000007,3981.0,7665.700000000002,0.5193263498441106,4480.900000000001,-193.93157894736845,0.2631578947368421,12.578947368421053
R0194,10,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,10.0,16.0,96,0.7,1.5,1.0,24,65.0,5202.9999999999945,23012.100000000013,17809.099999999988,1.2921540111516039,2765.2,80.04615384615376,0.5076923076923077,11.984615384615385,17.0,-4539.6,2388.6000000000004,6928.200000000002,0.34476487399324496,5335.8,-267.0352941176471,0.17647058823529413,14.941176470588236
R0205,10,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.25,1.0,24,64.0,4956.799999999996,23012.100000000013,18055.29999999999,1.274534347255378,2906.500000000001,77.44999999999993,0.515625,12.546875,17.0,-5039.6,2388.6000000000004,7428.200000000002,0.3215583856115882,5835.8,-296.44705882352946,0.17647058823529413,14.941176470588236
R0049,10,1.5,12,0.5,pullback,short,atr_sl_fixed_tp,10.0,16.0,96,0.7,1.25,1.0,24,67.0,4632.899999999992,22012.100000000013,17379.19999999999,1.266577287792305,5020.000000000005,69.14776119402974,0.4925373134328358,11.597014925373134,19.0,-2484.7,3981.0,6465.700000000002,0.615710595913822,3280.8999999999996,-130.7736842105263,0.2631578947368421,11.421052631578947
