param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0001,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.25,1.0,24,313.0,14460.5707031259,166184.54140625076,151723.97070312494,1.0953084119543675,13229.648828124842,46.199906399763265,0.4249201277955272,10.47923322683706,127.0,-16002.590234374662,53892.83417968775,69895.42441406252,0.7710495305161185,24473.00976562497,-126.00464751476112,0.3464566929133858,11
R0002,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.5,1.0,24,309.0,14165.79023437596,168713.14140625083,154547.35117187485,1.0916598707578102,14848.468359374809,45.84398134102252,0.4401294498381877,10.990291262135923,123.0,-14417.399999999632,55489.034179687755,69906.43417968751,0.7937614731865558,25065.409765624972,-117.21463414633847,0.36585365853658536,11.747967479674797
R0003,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.25,1.0,24,317.0,11295.400000000776,160328.78046875063,149033.38046874997,1.0757910742175585,12116.258593749844,35.63217665615387,0.3911671924290221,10.406940063091483,128.0,-13576.370703124572,53024.24394531283,66600.61464843752,0.7961524713429473,20325.409765624914,-106.06539611816072,0.3203125,10.8125
R0004,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.5,1.0,24,314.0,16106.751171875934,165140.13164062574,149033.38046874997,1.10807478915942,11098.199999999972,51.29538589769406,0.3853503184713376,10.585987261146498,127.0,-11632.595117187117,54968.019531250306,66600.61464843752,0.825338021599473,20325.409765624918,-91.59523714320564,0.31496062992125984,10.850393700787402
R0005,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,298.0,22077.62929687607,170450.20976562583,148372.58046874998,1.1487985800821587,12539.409765624867,74.08600435193313,0.40604026845637586,11.513422818791947,123.0,-16247.414648436965,53338.00000000045,69585.41464843752,0.7665112045315391,24513.61953124957,-132.09280201981272,0.3252032520325203,11.658536585365853
R0006,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.5,1.0,24,293.0,17666.66835937607,169656.40976562587,151989.74140624993,1.1162359261613262,13274.429296874814,60.2957964483825,0.41638225255972694,12.044368600682594,119.0,-14262.224414061942,55334.200000000455,69596.4244140625,0.7950724547397834,25502.219531249568,-119.85062532825161,0.3445378151260504,12.61344537815126
R0007,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,301.0,23846.200000001172,168390.57070312594,144544.37070312502,1.1649749477202254,9882.02929687482,79.22325581395738,0.3754152823920266,11.3421926910299,127.0,-11882.614648436955,55521.800000000476,67404.41464843754,0.8237116261536661,19925.409765624918,-93.56389486958231,0.30708661417322836,11.10236220472441
R0008,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.5,1.0,24,299.0,25103.79023437621,169648.16093750097,144544.37070312502,1.173675322755639,9528.239062499786,83.95916466346559,0.3712374581939799,11.581939799331103,126.0,-11898.804882811972,54701.809765625454,66600.61464843752,0.8213409148605926,19925.409765624918,-94.4349593873966,0.30952380952380953,11.23015873015873
R0009,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.25,1.0,24,290.0,31598.03906250141,177359.21953125112,145761.18046875,1.2167795222355204,10796.160937499419,108.9587553879359,0.4,12.248275862068965,123.0,-12717.424414061903,56867.99023437551,69585.41464843752,0.8172400857519706,24463.60976562451,-103.3936944232675,0.3252032520325203,12.065040650406504
R0010,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.5,1.0,24,285.0,27297.068359376397,175945.40000000116,148648.331640625,1.183635215128886,13572.331640624456,95.7791872258821,0.4105263157894737,12.782456140350877,119.0,-10382.234179686866,59214.19023437551,69596.4244140625,0.8508223049230503,25502.209765624495,-87.24566537551988,0.3445378151260504,12.915966386554622
R0011,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,8.0,24.0,96,0.7,1.25,1.0,24,294.0,27022.848828126367,169959.61953125108,142936.77070312505,1.1890545637430945,10433.731640624454,91.91445179634819,0.3673469387755102,12.051020408163266,127.0,-11002.595117186913,56401.81953125051,67404.41464843754,0.8367674406109233,21475.399999999863,-86.6346072219442,0.30708661417322836,11.464566929133857
