param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0001,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.25,1.0,24,518.0,10391.619531250273,271784.4390625011,261392.81953124885,1.0397548010304465,17763.43906249996,20.061041566120217,0.4092664092664093,10.482625482625483,237.0,-46480.6781250001,93183.95605468746,139664.63417968783,0.667197938848285,48208.84882812497,-196.12100474683587,0.29535864978902954,9.523206751054852
R0002,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.5,1.0,24,501.0,6506.141406250044,268566.7609375009,262060.61953124902,1.024826856541397,16674.02929687511,12.986310192115857,0.42714570858283435,11.141716566866268,227.0,-36982.63906249994,97422.58535156242,134405.22441406274,0.7248422505618699,40134.6292968749,-162.91911481277506,0.32158590308370044,10.26431718061674
R0003,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.25,1.0,24,524.0,12528.839062500174,265241.4488281257,252712.6097656239,1.0495774194810523,18510.960937499836,23.909998210878193,0.37595419847328243,10.444656488549619,240.0,-54372.073242187704,83451.96093750004,137824.03417968782,0.6054964319844223,54372.073242187704,-226.55030517578209,0.25,9.291666666666666
R0004,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.5,1.0,24,517.0,12685.40000000011,266201.8097656256,253516.4097656239,1.0500377865548405,20447.14140624977,24.536557059961527,0.3655705996131528,10.742746615087041,239.0,-50188.2585937502,87445.78046875,137634.0390625004,0.6353499545925582,50188.2585937502,-209.99271378138158,0.24686192468619247,9.305439330543933
R0005,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,489.0,15741.780468750336,267968.01953125076,252226.23906249902,1.0624113515202163,18424.40976562487,32.191780099693936,0.3885480572597137,11.680981595092025,232.0,-49941.70253906262,93028.12187500001,142969.82441406278,0.6506836128271106,49941.70253906262,-215.2659592200975,0.2629310344827586,9.969827586206897
R0006,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.5,1.0,24,469.0,17637.80976562513,266480.4292968756,248842.61953124925,1.070879376687366,15709.16093749996,37.60727028917938,0.4093816631130064,12.437100213219615,220.0,-37686.063476562376,98496.751171875,136182.8146484377,0.7232685814737269,39111.84394531235,-171.30028852982898,0.2909090909090909,10.881818181818181
R0007,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,501.0,14486.14140625036,263213.57070312556,248727.4292968739,1.0582410289335697,20519.52187499976,28.91445390469134,0.35528942115768464,11.379241516966069,239.0,-47468.287890625055,91963.34628906254,139431.6341796878,0.6595586921870821,48593.46835937494,-198.6120832243726,0.2384937238493724,9.485355648535565
R0008,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.5,1.0,24,493.0,23046.502343750322,266757.3511718754,243710.8488281239,1.0945649422443435,19215.721874999752,46.74746925710004,0.359026369168357,11.797160243407708,237.0,-45900.67812500006,91923.3560546875,137824.03417968782,0.6669617284227989,47525.858593749945,-193.67374736286945,0.24050632911392406,9.632911392405063
R0009,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.25,1.0,24,474.0,17038.89765625047,267137.4976562508,250098.59999999902,1.06812872065758,24516.59023437472,35.947041468882844,0.37341772151898733,12.367088607594937,226.0,-41328.89277343758,97421.93164062499,138750.82441406284,0.7021358759634941,43787.873242187394,-182.8712069621132,0.26548672566371684,10.526548672566372
R0010,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.5,1.0,24,456.0,20447.33671875032,268376.09765625064,247928.76093749926,1.0824726289980773,17800.209765624917,44.840650699013864,0.39473684210526316,13.081140350877194,216.0,-30620.863476562412,103010.55117187498,133631.41464843779,0.770855800957273,34289.853710937314,-141.76325683593709,0.2916666666666667,11.36574074074074
R0011,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,24.0,96,0.7,1.25,1.0,24,485.0,29557.029296875306,269212.65859375044,239655.629296874,1.1233312540314362,21855.70234374976,60.94232844716558,0.35670103092783506,12.158762886597938,234.0,-41679.278125000026,93733.3560546875,135412.63417968786,0.6922053959182759,44914.44882812489,-178.1165731837608,0.24358974358974358,9.982905982905983
R0012,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,24.0,96,0.7,1.5,1.0,24,481.0,27282.258593750437,265654.06835937547,238371.8097656241,1.1144525379094796,23269.873046874636,56.719872336279494,0.35343035343035345,12.411642411642411,233.0,-40615.497656250096,93189.53652343742,133805.03417968788,0.6964576265366251,41520.65859374989,-174.31544058476436,0.24892703862660945,10.17596566523605
R0013,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,10.0,16.0,96,0.7,1.25,1.0,24,470.0,-216.01953125001506,265470.6195312509,265686.6390624992,0.9991869386732786,21822.360937499994,-0.45961602393620227,0.4531914893617021,12.163829787234043,214.0,-39123.2097656248,99021.20488281248,138144.41464843758,0.7167948493235186,41960.43906249987,-182.8187372225458,0.35514018691588783,11.24766355140187
R0014,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,10.0,16.0,96,0.7,1.5,1.0,24,455.0,7740.941406250042,267062.96093750093,259322.01953124945,1.0298506907367295,21814.97070312483,17.013058035714376,0.4725274725274725,12.824175824175825,209.0,-52654.209765624924,94232.60488281248,146886.8146484375,0.641532087875628,52654.209765624924,-251.93401801734413,0.3492822966507177,11.569377990430622
