param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0469,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.25,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0470,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.5,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0471,14,2.0,12,0.5,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.25,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0472,14,2.0,12,0.5,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.5,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0473,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0474,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.5,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0475,14,2.0,12,0.5,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0476,14,2.0,12,0.5,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.5,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0477,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.25,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
R0478,14,2.0,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.5,1.0,24,139.0,1517.7769287110505,12260.180957031294,10742.404028320245,1.1412883861666092,1862.2095214843434,10.919258479935614,0.43884892086330934,23.949640287769785,51.0,-619.7970703124329,8967.207141113318,9587.004211425752,0.935350287050697,5233.602563476561,-12.152883731616331,0.5098039215686274,24
