param_id,side,label,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,exit_label
R0109,short,S-0.5,2026-06-12T07:30:00+00:00,2026-06-12T09:30:00+00:00,73.96000000000001,72.98999786376953,81.96000000000001,57.96,578.2012817382861,582.001281738286,time,24,XS-0.5
R0109,short,S-0.5,2026-06-12T10:15:00+00:00,2026-06-12T12:15:00+00:00,73.05,73.69000244140625,81.05,57.050000000000004,-387.8014648437517,-384.0014648437517,time,24,XS-0.5
R0109,short,S-0.5,2026-06-12T14:35:00+00:00,2026-06-12T16:35:00+00:00,73.86,74.66999816894531,83.86,57.86,-489.79890136718785,-485.99890136718784,time,24,XS-0.5
R0109,long,L-0.5,2026-06-15T02:00:00+00:00,2026-06-15T04:00:00+00:00,73.58,73.47000122070312,65.58,89.58,-69.79926757812397,-65.99926757812398,time,24,XL-0.5
R0109,long,L-0.5,2026-06-15T04:10:00+00:00,2026-06-15T06:15:00+00:00,73.48,73.5999984741211,65.48,89.48,68.19908447265387,71.99908447265386,time,24,XL-0.5
R0109,short,S-0.5,2026-06-15T09:20:00+00:00,2026-06-15T11:20:00+00:00,73.09,72.91000366210938,81.09,57.09,104.19780273437705,107.99780273437705,time,24,XS-0.5
R0109,long,L-0.5,2026-06-15T11:30:00+00:00,2026-06-15T14:15:00+00:00,72.97,72.98999786376953,64.97,88.97,8.198718261719431,11.998718261719432,time,24,XL-0.5
R0109,short,S-0.5,2026-06-16T01:15:00+00:00,2026-06-16T03:15:00+00:00,74.13,73.98999786376953,82.13,58.13,80.20128173827852,84.00128173827852,time,24,XS-0.5
R0109,long,L-0.5,2026-06-16T06:25:00+00:00,2026-06-16T08:25:00+00:00,73.81,73.62999725341797,65.81,89.81,-111.80164794922011,-108.00164794922011,time,24,XL-0.5
R0109,long,L-0.5,2026-06-16T09:00:00+00:00,2026-06-16T11:00:00+00:00,73.92,73.91999816894531,63.92,89.92,-3.801098632813523,-0.0010986328135231815,time,24,XL-0.5
R0109,long,L-0.5,2026-06-16T11:15:00+00:00,2026-06-16T14:00:00+00:00,73.89,74.44000244140625,65.89,89.89,326.20146484374965,330.00146484374966,time,24,XL-0.5
R0109,long,L-0.5,2026-06-16T17:15:00+00:00,2026-06-17T00:55:00+00:00,72.96000000000001,72.7699966430664,64.96000000000001,88.96000000000001,-117.80201416016102,-114.00201416016102,time,24,XL-0.5
R0109,long,L-0.5,2026-06-17T02:50:00+00:00,2026-06-17T04:55:00+00:00,72.53,72.55000305175781,64.53,88.53,8.201831054686817,12.001831054686818,time,24,XL-0.5
R0109,long,L-0.5,2026-06-17T06:05:00+00:00,2026-06-17T08:05:00+00:00,72.71000000000001,67.62999725341797,64.71000000000001,88.71000000000001,-3051.8016479492235,-3048.0016479492233,time,24,XL-0.5
