param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0001,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.25,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0002,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.5,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0003,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.25,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0004,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.5,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0005,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0006,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.5,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0007,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0008,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.5,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0009,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.25,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
R0010,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.5,1.0,24,218.0,-1536.3512939453651,16827.02691650387,18363.37821044924,0.916336129641378,5199.3804077148725,-7.0474829997493815,0.481651376146789,23.94495412844037,87.0,1445.4060424805089,15203.197070312543,13757.791027832034,1.1050609098187674,4100.99615478513,16.613862557247227,0.5287356321839081,24
