config_id,signal_family,side_mode,sl_rule,tp_rule,sl_value,tp_value,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,day_positive_rate,week_positive_rate,month_positive_rate,week_std_pnl
X01244,icefishball,long_only,atr,atr,2.5,4.0,24,2,508.52,999.0,1.0,254.26,0.0,508.52,0.0,2,2,True,"[228.26, 280.26]",1.0,1.0,1.0,0.0
X01388,icefishball,long_only,atr,atr,2.5,4.0,48,2,508.52,999.0,1.0,254.26,0.0,508.52,0.0,2,2,True,"[228.26, 280.26]",1.0,1.0,1.0,0.0
X01208,icefishball,long_only,fixed,fixed,80.0,120.0,24,2,477.52,999.0,1.0,238.76,0.0,477.52,0.0,2,2,True,"[238.76, 238.76]",1.0,1.0,1.0,0.0
X01352,icefishball,long_only,fixed,fixed,80.0,120.0,48,2,477.52,999.0,1.0,238.76,0.0,477.52,0.0,2,2,True,"[238.76, 238.76]",1.0,1.0,1.0,0.0
X01280,icefishball,long_only,atr_blend,atr_blend,2.5,4.0,24,2,447.02,999.0,1.0,223.51,0.0,447.02,0.0,2,2,True,"[210.26, 236.76]",1.0,1.0,1.0,0.0
X01064,icefishball,long_only,fixed,fixed,80.0,120.0,12,2,402.02,999.0,1.0,201.01,0.0,402.02,0.0,2,2,True,"[238.76, 163.26]",1.0,1.0,1.0,0.0
X01279,icefishball,long_only,atr_blend,atr_blend,2.5,3.0,24,2,398.02,999.0,1.0,199.01,0.0,398.02,0.0,2,2,True,"[157.26, 240.76]",1.0,1.0,1.0,0.0
X01423,icefishball,long_only,atr_blend,atr_blend,2.5,3.0,48,2,398.02,999.0,1.0,199.01,0.0,398.02,0.0,2,2,True,"[157.26, 240.76]",1.0,1.0,1.0,0.0
X00920,icefishball,long_only,fixed,fixed,80.0,120.0,6,2,395.02,999.0,1.0,197.51,0.0,395.02,0.0,2,2,True,"[238.76, 156.26]",1.0,1.0,1.0,0.0
X01100,icefishball,long_only,atr,atr,2.5,4.0,12,2,391.52,999.0,1.0,195.76,0.0,391.52,0.0,2,2,True,"[228.26, 163.26]",1.0,1.0,1.0,0.0
X00956,icefishball,long_only,atr,atr,2.5,4.0,6,2,384.52,999.0,1.0,192.26,0.0,384.52,0.0,2,2,True,"[228.26, 156.26]",1.0,1.0,1.0,0.0
X01243,icefishball,long_only,atr,atr,2.5,3.0,24,2,380.52,999.0,1.0,190.26,0.0,380.52,0.0,2,2,True,"[170.76, 209.76]",1.0,1.0,1.0,0.0
X01387,icefishball,long_only,atr,atr,2.5,3.0,48,2,380.52,999.0,1.0,190.26,0.0,380.52,0.0,2,2,True,"[170.76, 209.76]",1.0,1.0,1.0,0.0
X01136,icefishball,long_only,atr_blend,atr_blend,2.5,4.0,12,2,373.52,999.0,1.0,186.76,0.0,373.52,0.0,2,2,True,"[210.26, 163.26]",1.0,1.0,1.0,0.0
X00992,icefishball,long_only,atr_blend,atr_blend,2.5,4.0,6,2,366.52,999.0,1.0,183.26,0.0,366.52,0.0,2,2,True,"[210.26, 156.26]",1.0,1.0,1.0,0.0
X01099,icefishball,long_only,atr,atr,2.5,3.0,12,2,334.02,999.0,1.0,167.01,0.0,334.02,0.0,2,2,True,"[170.76, 163.26]",1.0,1.0,1.0,0.0
