signal_family,group,signals,h1_direction_acc,h1_avg_ret_points,h1_peak_capture_rate,h1_wrong_short_right_long_rate,h3_direction_acc,h3_avg_ret_points,h3_peak_capture_rate,h3_wrong_short_right_long_rate,h6_direction_acc,h6_avg_ret_points,h6_peak_capture_rate,h6_wrong_short_right_long_rate,h12_direction_acc,h12_avg_ret_points,h12_peak_capture_rate,h12_wrong_short_right_long_rate,h24_direction_acc,h24_avg_ret_points,h24_peak_capture_rate,h24_wrong_short_right_long_rate,h48_direction_acc,h48_avg_ret_points,h48_peak_capture_rate,h48_wrong_short_right_long_rate,side,session,cluster_kind,week,month
icefishball,signal_family,7,0.5714,11.4643,0.1429,0.0,0.5714,15.1429,0.1429,0.1429,0.7143,27.3929,0.1429,0.2857,0.4286,30.25,0.1429,0.0,0.4286,45.2143,0.1429,0.0,0.7143,53.0714,0.1429,0.2857,,,,,
momentum_reversion,signal_family,1,1.0,40.0,1.0,0.0,1.0,10.75,1.0,0.0,0.0,-56.0,0.0,0.0,0.0,-65.25,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-32.5,0.0,0.0,,,,,
icefishball,signal_family+side,2,0.5,29.375,0.0,0.0,1.0,67.875,0.0,0.5,1.0,86.25,0.0,0.5,1.0,145.25,0.0,0.0,1.0,166.0,0.0,0.0,1.0,74.375,0.0,0.0,long,,,,
icefishball,signal_family+side,5,0.6,4.3,0.2,0.0,0.4,-5.95,0.2,0.0,0.6,3.85,0.2,0.2,0.2,-15.75,0.2,0.0,0.2,-3.1,0.2,0.0,0.6,44.55,0.2,0.4,short,,,,
momentum_reversion,signal_family+side,1,1.0,40.0,1.0,0.0,1.0,10.75,1.0,0.0,0.0,-56.0,0.0,0.0,0.0,-65.25,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-32.5,0.0,0.0,long,,,,
icefishball,signal_family+session,1,0.0,-2.25,0.0,0.0,0.0,-12.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,-16.0,0.0,0.0,0.0,-10.5,0.0,0.0,0.0,-4.5,0.0,0.0,,ASIA,,,
icefishball,signal_family+session,1,1.0,1.5,0.0,0.0,1.0,13.25,0.0,0.0,1.0,10.25,0.0,0.0,0.0,-20.5,0.0,0.0,0.0,-12.25,0.0,0.0,0.0,-3.5,0.0,0.0,,EURO,,,
icefishball,signal_family+session,1,1.0,61.0,0.0,0.0,1.0,117.0,0.0,0.0,1.0,93.75,0.0,0.0,1.0,208.25,0.0,0.0,1.0,213.0,0.0,0.0,1.0,97.25,0.0,0.0,,PRE,,,
icefishball,signal_family+session,4,0.5,5.0,0.25,0.0,0.5,-2.9375,0.25,0.25,0.5,21.8125,0.25,0.25,0.5,10.0,0.25,0.0,0.5,31.5625,0.25,0.0,1.0,70.5625,0.25,0.5,,RTH,,,
momentum_reversion,signal_family+session,1,1.0,40.0,1.0,0.0,1.0,10.75,1.0,0.0,0.0,-56.0,0.0,0.0,0.0,-65.25,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-32.5,0.0,0.0,,RTH,,,
icefishball,signal_family+cluster_kind,2,0.5,-0.375,0.0,0.0,0.5,0.375,0.0,0.0,1.0,5.375,0.0,0.5,0.0,-18.25,0.0,0.0,0.0,-11.375,0.0,0.0,0.0,-4.0,0.0,0.0,,,same_family,,
icefishball,signal_family+cluster_kind,5,0.6,16.2,0.2,0.0,0.6,21.05,0.2,0.2,0.6,36.2,0.2,0.2,0.6,49.65,0.2,0.0,0.6,67.85,0.2,0.0,1.0,75.9,0.2,0.4,,,solo,,
momentum_reversion,signal_family+cluster_kind,1,1.0,40.0,1.0,0.0,1.0,10.75,1.0,0.0,0.0,-56.0,0.0,0.0,0.0,-65.25,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-32.5,0.0,0.0,,,solo,,
icefishball,signal_family+week,7,0.5714,11.4643,0.1429,0.0,0.5714,15.1429,0.1429,0.1429,0.7143,27.3929,0.1429,0.2857,0.4286,30.25,0.1429,0.0,0.4286,45.2143,0.1429,0.0,0.7143,53.0714,0.1429,0.2857,,,,2026-W28,
momentum_reversion,signal_family+week,1,1.0,40.0,1.0,0.0,1.0,10.75,1.0,0.0,0.0,-56.0,0.0,0.0,0.0,-65.25,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-32.5,0.0,0.0,,,,2026-W28,
icefishball,signal_family+month,7,0.5714,11.4643,0.1429,0.0,0.5714,15.1429,0.1429,0.1429,0.7143,27.3929,0.1429,0.2857,0.4286,30.25,0.1429,0.0,0.4286,45.2143,0.1429,0.0,0.7143,53.0714,0.1429,0.2857,,,,,2026-07
momentum_reversion,signal_family+month,1,1.0,40.0,1.0,0.0,1.0,10.75,1.0,0.0,0.0,-56.0,0.0,0.0,0.0,-65.25,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-32.5,0.0,0.0,,,,,2026-07
