config_id,signal_family,side_mode,sl_rule,tp_rule,sl_value,tp_value,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,day_positive_rate,week_positive_rate,month_positive_rate,week_std_pnl
X00173,icefishball,long_only,atr,atr,2.5,4.0,24,2,508.52,999.0,1.0,254.26,0.0,508.52,0.0,2,2,True,"[228.26, 280.26]",1.0,1.0,1.0,0.0
X00182,icefishball,long_only,atr_blend,atr_blend,2.5,4.0,24,2,447.02,999.0,1.0,223.51,0.0,447.02,0.0,2,2,True,"[210.26, 236.76]",1.0,1.0,1.0,0.0
X00142,icefishball,long_only,atr,atr,2.5,4.0,12,2,391.52,999.0,1.0,195.76,0.0,391.52,0.0,2,2,True,"[228.26, 163.26]",1.0,1.0,1.0,0.0
X00111,icefishball,long_only,atr,atr,2.5,4.0,6,2,384.52,999.0,1.0,192.26,0.0,384.52,0.0,2,2,True,"[228.26, 156.26]",1.0,1.0,1.0,0.0
X00151,icefishball,long_only,atr_blend,atr_blend,2.5,4.0,12,2,373.52,999.0,1.0,186.76,0.0,373.52,0.0,2,2,True,"[210.26, 163.26]",1.0,1.0,1.0,0.0
X00120,icefishball,long_only,atr_blend,atr_blend,2.5,4.0,6,2,366.52,999.0,1.0,183.26,0.0,366.52,0.0,2,2,True,"[210.26, 156.26]",1.0,1.0,1.0,0.0
X00119,icefishball,long_only,atr_blend,atr_blend,2.5,2.0,6,2,265.02,999.0,1.0,132.51,0.0,265.02,0.0,2,2,True,"[104.76, 160.26]",1.0,1.0,1.0,0.0
X00150,icefishball,long_only,atr_blend,atr_blend,2.5,2.0,12,2,265.02,999.0,1.0,132.51,0.0,265.02,0.0,2,2,True,"[104.76, 160.26]",1.0,1.0,1.0,0.0
X00181,icefishball,long_only,atr_blend,atr_blend,2.5,2.0,24,2,265.02,999.0,1.0,132.51,0.0,265.02,0.0,2,2,True,"[104.76, 160.26]",1.0,1.0,1.0,0.0
X00110,icefishball,long_only,atr,atr,2.5,2.0,6,2,252.52,999.0,1.0,126.26,0.0,252.52,0.0,2,2,True,"[113.26, 139.26]",1.0,1.0,1.0,0.0
X00141,icefishball,long_only,atr,atr,2.5,2.0,12,2,252.52,999.0,1.0,126.26,0.0,252.52,0.0,2,2,True,"[113.26, 139.26]",1.0,1.0,1.0,0.0
X00172,icefishball,long_only,atr,atr,2.5,2.0,24,2,252.52,999.0,1.0,126.26,0.0,252.52,0.0,2,2,True,"[113.26, 139.26]",1.0,1.0,1.0,0.0
X00256,icefishball,short_only,fixed,fixed,60.0,60.0,24,4,475.04,999.0,1.0,118.76,0.0,475.04,0.0,3,3,True,"[237.52, 118.76, 118.76]",1.0,1.0,1.0,0.0
