config_id,signal_family,side_mode,signal_id,direction,entry_time,exit_time,entry,exit,sl,tp,exit_reason,hold_bars,pnl,gross_pnl,session,trade_date,week,month
X00389,emapmo,long_only,emapmo:early:long:2026-05-12T17:10:00+00:00,long,2026-05-12T17:10:00+00:00,2026-05-12T17:20:00+00:00,29083.0,29188.0,28951.75,29188.0,tp,2,208.76,210.0,RTH,2026-05-12,2026-W20,2026-05
X00389,emapmo,long_only,emapmo:early:long:2026-05-12T17:25:00+00:00,long,2026-05-12T17:25:00+00:00,2026-05-12T19:10:00+00:00,29178.5,29281.75,29049.25,29281.75,tp,21,205.26,206.5,RTH,2026-05-12,2026-W20,2026-05
X00389,emapmo,long_only,emapmo:early:long:2026-05-15T09:40:00+00:00,long,2026-05-15T09:40:00+00:00,2026-05-15T10:25:00+00:00,29503.5,29580.75,29406.75,29580.75,tp,9,153.26,154.5,EURO,2026-05-15,2026-W20,2026-05
X00389,emapmo,long_only,emapmo:early:long:2026-05-18T01:55:00+00:00,long,2026-05-18T01:55:00+00:00,2026-05-18T03:55:00+00:00,29287.75,29324.75,29168.5,29383.25,time,24,72.76,74.0,ASIA,2026-05-18,2026-W21,2026-05
X00389,emapmo,long_only,emapmo:early:long:2026-06-05T16:00:00+00:00,long,2026-06-05T16:00:00+00:00,2026-06-05T16:30:00+00:00,29927.75,29794.0,29794.0,30034.75,sl,6,-268.74,-267.5,RTH,2026-06-05,2026-W23,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-05T17:00:00+00:00,long,2026-06-05T17:00:00+00:00,2026-06-05T18:10:00+00:00,29759.75,29616.0,29616.0,29874.75,sl,14,-288.74,-287.5,RTH,2026-06-05,2026-W23,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-05T19:05:00+00:00,long,2026-06-05T19:05:00+00:00,2026-06-05T19:10:00+00:00,29470.75,29326.0,29326.0,29586.5,sl,1,-290.74,-289.5,RTH,2026-06-05,2026-W23,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-05T19:30:00+00:00,long,2026-06-05T19:30:00+00:00,2026-06-05T20:00:00+00:00,29423.75,29261.5,29261.5,29553.5,sl,6,-325.74,-324.5,RTH,2026-06-05,2026-W23,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-05T20:45:00+00:00,long,2026-06-05T20:45:00+00:00,2026-06-07T22:10:00+00:00,29088.0,29229.5,28911.0,29229.5,tp,5,281.76,283.0,AH,2026-06-05,2026-W23,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-07T22:15:00+00:00,long,2026-06-07T22:15:00+00:00,2026-06-08T00:00:00+00:00,29263.75,29393.0,29102.25,29393.0,tp,21,257.26,258.5,ASIA,2026-06-08,2026-W23,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-09T16:35:00+00:00,long,2026-06-09T16:35:00+00:00,2026-06-09T17:15:00+00:00,28756.0,28971.0,28487.25,28971.0,tp,8,428.76,430.0,RTH,2026-06-09,2026-W24,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-09T17:20:00+00:00,long,2026-06-09T17:20:00+00:00,2026-06-09T18:30:00+00:00,28992.0,29258.0,28659.5,29258.0,tp,14,530.76,532.0,RTH,2026-06-09,2026-W24,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-10T22:00:00+00:00,long,2026-06-10T22:00:00+00:00,2026-06-10T23:10:00+00:00,28727.25,28576.5,28576.5,28848.0,sl,14,-302.74,-301.5,ASIA,2026-06-11,2026-W24,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-10T23:25:00+00:00,long,2026-06-10T23:25:00+00:00,2026-06-10T23:40:00+00:00,28597.75,28715.75,28450.25,28715.75,tp,3,234.76,236.0,ASIA,2026-06-11,2026-W24,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-10T23:45:00+00:00,long,2026-06-10T23:45:00+00:00,2026-06-11T00:15:00+00:00,28692.75,28817.75,28536.5,28817.75,tp,6,248.76,250.0,ASIA,2026-06-11,2026-W24,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-16T16:55:00+00:00,long,2026-06-16T16:55:00+00:00,2026-06-16T18:55:00+00:00,30483.0,30442.5,30339.75,30597.5,time,24,-82.24,-81.0,RTH,2026-06-16,2026-W25,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-16T20:35:00+00:00,long,2026-06-16T20:35:00+00:00,2026-06-16T22:30:00+00:00,30303.0,30381.75,30204.75,30381.75,tp,11,156.26,157.5,AH,2026-06-16,2026-W25,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-17T20:35:00+00:00,long,2026-06-17T20:35:00+00:00,2026-06-17T23:20:00+00:00,30128.0,30291.25,29924.0,30291.25,tp,21,325.26,326.5,AH,2026-06-17,2026-W25,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-23T06:55:00+00:00,long,2026-06-23T06:55:00+00:00,2026-06-23T07:55:00+00:00,29994.0,29899.25,29899.25,30069.75,sl,12,-190.74,-189.5,ASIA,2026-06-23,2026-W26,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-23T08:40:00+00:00,long,2026-06-23T08:40:00+00:00,2026-06-23T09:20:00+00:00,29824.75,29919.25,29706.5,29919.25,tp,8,187.76,189.0,EURO,2026-06-23,2026-W26,2026-06
X00389,emapmo,long_only,emapmo:normal:long:2026-06-23T09:25:00+00:00,long,2026-06-23T09:25:00+00:00,2026-06-23T10:30:00+00:00,29922.5,29806.0,29806.0,30015.75,sl,13,-234.24,-233.0,EURO,2026-06-23,2026-W26,2026-06
X00389,emapmo,long_only,emapmo:early:long:2026-06-24T19:30:00+00:00,long,2026-06-24T19:30:00+00:00,2026-06-24T19:55:00+00:00,29383.75,29512.0,29223.5,29512.0,tp,5,255.26,256.5,RTH,2026-06-24,2026-W26,2026-06
X00389,emapmo,long_only,emapmo:normal:long:2026-06-24T20:00:00+00:00,long,2026-06-24T20:00:00+00:00,2026-06-24T20:00:00+00:00,29515.0,29649.0,29347.5,29649.0,tp,0,266.76,268.0,AH,2026-06-24,2026-W26,2026-06
