cluster_kind,cluster_families,signal_family,signals,avg_cluster_size,h1_direction_acc,h1_peak_capture_rate,h3_direction_acc,h3_peak_capture_rate,h6_direction_acc,h6_peak_capture_rate,h12_direction_acc,h12_peak_capture_rate,h24_direction_acc,h24_peak_capture_rate,h48_direction_acc,h48_peak_capture_rate
mixed,emapmo+icefishball,icefishball,19,3.263,0.3684,0.1053,0.3684,0.2105,0.4737,0.1579,0.5789,0.1579,0.4737,0.1579,0.5789,0.1579
mixed,emapmo+momentum_reversion,emapmo,69,4.217,0.5797,0.3478,0.5217,0.3623,0.5072,0.3188,0.5652,0.2609,0.6667,0.2464,0.6232,0.1884
solo,momentum_reversion,momentum_reversion,64,1.0,0.6094,0.2812,0.6562,0.3906,0.6562,0.375,0.5469,0.2812,0.5625,0.2344,0.5312,0.2188
mixed,emapmo+momentum_reversion,momentum_reversion,41,4.39,0.6098,0.3171,0.6098,0.3415,0.5854,0.2683,0.5366,0.1707,0.3659,0.0976,0.4146,0.0976
all3_mixed,emapmo+icefishball+momentum_reversion,icefishball,2,4.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0
same_family,emapmo,emapmo,708,2.768,0.5,0.1921,0.5113,0.2556,0.4972,0.2472,0.4675,0.1921,0.4477,0.1483,0.4873,0.1172
solo,icefishball,icefishball,451,1.0,0.5255,0.2284,0.4856,0.2616,0.5078,0.2395,0.4568,0.184,0.4834,0.1197,0.4834,0.0865
solo,emapmo,emapmo,22,1.0,0.2727,0.0455,0.2727,0.0455,0.5455,0.0455,0.4545,0.0455,0.3182,0.0455,0.4545,0.0455
same_family,icefishball,icefishball,282,2.156,0.4149,0.117,0.4007,0.1277,0.4894,0.1454,0.4504,0.1454,0.4468,0.1028,0.4716,0.0709
same_family,momentum_reversion,momentum_reversion,55,2.236,0.4727,0.2182,0.3818,0.2545,0.4364,0.2364,0.4182,0.1818,0.4545,0.0909,0.4364,0.0727
mixed,emapmo+icefishball,emapmo,26,3.577,0.3462,0.0769,0.3846,0.1923,0.3846,0.1923,0.3846,0.1923,0.3462,0.1538,0.5385,0.1538
all3_mixed,emapmo+icefishball+momentum_reversion,emapmo,3,5.0,0.6667,0.6667,1.0,0.6667,0.6667,0.3333,0.3333,0.3333,0.6667,0.3333,0.0,0.0
all3_mixed,emapmo+icefishball+momentum_reversion,momentum_reversion,3,5.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,1.0,0.0
mixed,icefishball+momentum_reversion,icefishball,22,3.273,0.5909,0.2727,0.5455,0.2727,0.5,0.1818,0.2727,0.0909,0.2273,0.0909,0.2727,0.0909
mixed,icefishball+momentum_reversion,momentum_reversion,31,3.355,0.3871,0.1613,0.4516,0.1613,0.4839,0.129,0.2581,0.0323,0.2581,0.0323,0.3548,0.0323
