entry_signal,exit_signal,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,week_positive_rate
emapmo,momentum_reversion,48,108,2234.58,1.2596,0.2778,20.6906,1335.36,10842.8,-8608.22,3,3,True,"[568.36, 1027.86, 638.36]",0.5833
emapmo,icefishball,48,116,2023.66,1.2457,0.2672,17.4453,1117.2,10260.56,-8236.9,3,3,True,"[654.64, 798.14, 570.88]",0.6667
emapmo,momentum_reversion,24,110,1630.1,1.2115,0.3545,14.8191,1494.46,9338.14,-7708.04,3,3,True,"[422.62, 210.62, 996.86]",0.5
emapmo,icefishball,24,118,1489.68,1.193,0.339,12.6244,1548.7,9206.4,-7716.72,3,3,True,"[338.4, 163.64, 987.64]",0.5833
emapmo,emapmo,48,428,1866.28,1.193,0.507,4.3605,1740.68,11537.42,-9671.14,3,3,True,"[340.68, 58.68, 1466.92]",0.5833
emapmo,emapmo,12,440,1762.9,1.1915,0.5159,4.0066,1827.4,10966.52,-9203.62,3,2,False,"[366.22, -261.78, 1658.46]",0.5833
emapmo,emapmo,24,439,1715.14,1.1791,0.5148,3.9069,1971.04,11290.26,-9575.12,3,2,False,"[468.72, -479.04, 1725.46]",0.75
emapmo,emapmo,6,440,1320.9,1.1502,0.525,3.002,1740.68,10115.06,-8794.16,3,2,False,"[399.22, -603.28, 1524.96]",0.6667
emapmo,icefishball,6,186,1141.36,1.1483,0.4462,6.1363,1260.76,8839.58,-7698.22,3,2,False,"[820.12, -402.38, 723.62]",0.5833
emapmo,momentum_reversion,6,183,1082.08,1.1382,0.459,5.913,1239.52,8909.84,-7827.76,3,2,False,"[905.36, -547.64, 724.36]",0.5833
emapmo,momentum_reversion,12,129,871.54,1.112,0.4031,6.7561,1913.78,8652.02,-7780.48,3,2,False,"[1198.68, -1503.82, 1176.68]",0.6667
emapmo,icefishball,12,135,692.6,1.0893,0.3926,5.1304,2062.5,8445.78,-7753.18,3,2,False,"[1150.2, -1661.3, 1203.7]",0.6667
momentum_reversion,momentum_reversion,48,125,-2.0,0.9996,0.248,-0.016,1061.94,4978.06,-4980.06,3,2,False,"[-308.08, 260.92, 45.16]",0.25
icefishball,icefishball,48,454,-1334.96,0.9397,0.1894,-2.9404,3396.88,20816.86,-22151.82,3,1,False,"[-715.48, 750.26, -1369.74]",0.3846
icefishball,emapmo,48,400,-1529.5,0.9395,0.24,-3.8238,4144.84,23765.46,-25294.96,3,1,False,"[-1532.66, 188.58, -185.42]",0.3077
icefishball,momentum_reversion,48,386,-1653.64,0.9379,0.2098,-4.284,4287.26,24974.56,-26628.2,3,1,False,"[-1665.96, 588.54, -576.22]",0.3846
momentum_reversion,icefishball,48,104,-605.46,0.9016,0.1923,-5.8217,1599.26,5544.7,-6150.16,3,1,False,"[-225.4, 11.6, -391.66]",0.25
momentum_reversion,momentum_reversion,24,127,-518.48,0.8878,0.2598,-4.0825,1150.96,4100.58,-4619.06,3,2,False,"[-867.32, 336.42, 12.42]",0.25
momentum_reversion,emapmo,6,110,-435.9,0.8875,0.4636,-3.9627,991.06,3439.76,-3875.66,3,1,False,"[-304.88, -347.38, 216.36]",0.25
momentum_reversion,icefishball,6,112,-473.38,0.8785,0.4375,-4.2266,984.3,3423.74,-3897.12,3,1,False,"[-267.12, -297.38, 91.12]",0.1667
icefishball,emapmo,24,459,-3805.66,0.8557,0.3007,-8.2912,6014.96,22572.88,-26378.54,3,1,False,"[-1175.22, 30.78, -2661.22]",0.3077
icefishball,emapmo,12,506,-3779.94,0.8536,0.3458,-7.4702,6276.66,22044.0,-25823.94,3,1,False,"[-2511.56, -1539.06, 270.68]",0.4615
icefishball,momentum_reversion,24,449,-4341.26,0.8464,0.2829,-9.6687,6676.64,23919.02,-28260.28,3,1,False,"[-1163.5, 186.5, -3364.26]",0.3846
momentum_reversion,emapmo,48,100,-1059.5,0.8397,0.2,-10.595,1704.52,5551.2,-6610.7,3,1,False,"[-304.16, 188.08, -943.42]",0.25
icefishball,momentum_reversion,12,504,-4362.46,0.839,0.3452,-8.6557,6447.58,22726.24,-27088.7,3,0,False,"[-2391.82, -1810.32, -160.32]",0.4615
icefishball,icefishball,6,575,-3196.0,0.8329,0.3496,-5.5583,5131.28,15935.26,-19131.26,3,0,False,"[-1364.58, -545.08, -1286.34]",0.3846
momentum_reversion,momentum_reversion,6,129,-647.46,0.8176,0.3643,-5.0191,835.46,2902.22,-3549.68,3,0,False,"[-274.32, -47.32, -325.82]",0.25
icefishball,momentum_reversion,6,525,-4072.5,0.8171,0.4343,-7.7571,5740.0,18197.28,-22269.78,3,0,False,"[-980.5, -894.0, -2198.0]",0.4615
icefishball,emapmo,6,525,-3966.5,0.8133,0.4381,-7.5552,5643.5,17278.3,-21244.8,3,0,False,"[-1109.5, -971.5, -1885.5]",0.4615
icefishball,icefishball,24,512,-4738.38,0.7983,0.2344,-9.2546,5920.62,18749.2,-23487.58,3,0,False,"[-1534.04, -135.04, -3069.3]",0.1538
icefishball,icefishball,12,558,-4689.42,0.7976,0.2796,-8.404,6372.7,18476.56,-23165.98,3,0,False,"[-2320.64, -1850.14, -518.64]",0.2308
momentum_reversion,icefishball,24,106,-1173.94,0.7908,0.2358,-11.0749,1375.96,4438.5,-5612.44,3,0,False,"[-740.64, -141.4, -291.9]",0.25
momentum_reversion,emapmo,24,102,-1332.98,0.7764,0.2549,-13.0684,1471.24,4627.26,-5960.24,3,1,False,"[-776.66, 108.84, -665.16]",0.25
momentum_reversion,momentum_reversion,12,128,-1050.72,0.7527,0.2891,-8.2088,1050.72,3198.12,-4248.84,3,0,False,"[-618.82, -133.82, -298.08]",0.1667
momentum_reversion,icefishball,12,109,-1258.66,0.7348,0.3211,-11.5473,1331.44,3488.1,-4746.76,3,0,False,"[-479.38, -744.64, -34.64]",0.0833
momentum_reversion,emapmo,12,105,-1449.7,0.7008,0.3238,-13.8067,1502.22,3395.34,-4845.04,3,0,False,"[-572.4, -681.9, -195.4]",0.0833
