config_id,signal_family,side_mode,sl_rule,tp_rule,sl_value,tp_value,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,day_positive_rate,week_positive_rate,month_positive_rate,week_std_pnl
X00389,emapmo,long_only,atr_blend,atr_blend,2.5,2.0,24,28,2550.28,2.1999,0.6429,91.0814,1173.96,4675.68,-2125.4,3,3,True,"[5.1, 1348.84, 1196.34]",0.8571,0.8571,1.0,530.11
X00442,emapmo,long_only,atr_blend,atr_blend,2.0,2.0,48,33,2952.58,2.0084,0.6364,89.4721,1189.2,5880.46,-2927.88,3,3,True,"[106.86, 1450.86, 1394.86]",0.7857,0.8571,1.0,594.52
X00430,emapmo,long_only,atr,atr,2.5,2.0,48,29,2392.04,1.9411,0.6897,82.4841,1189.46,4933.7,-2541.66,3,3,True,"[64.1, 1456.6, 871.34]",0.7857,0.8571,1.0,548.62
X00423,emapmo,long_only,atr,atr,1.5,4.0,48,27,2409.52,1.9051,0.4444,89.2415,970.18,5071.62,-2662.1,3,3,True,"[11.84, 1803.34, 594.34]",0.7692,0.8571,1.0,446.07
X00366,emapmo,long_only,atr,atr,1.5,4.0,24,27,2032.52,1.8526,0.4815,75.2785,902.2,4416.38,-2383.86,3,3,True,"[132.84, 1208.84, 690.84]",0.6923,0.7143,0.6667,425.0
X00333,emapmo,long_only,atr_blend,atr_blend,2.5,4.0,12,26,1800.76,1.8196,0.5769,69.26,1091.7,3997.9,-2197.14,3,3,True,"[254.84, 712.84, 833.08]",0.6923,0.7143,1.0,537.68
X00309,emapmo,long_only,atr,atr,1.5,4.0,12,31,1835.56,1.694,0.4516,59.2116,976.92,4480.64,-2645.08,3,3,True,"[494.36, 678.1, 663.1]",0.6923,0.7143,1.0,486.52
X00317,emapmo,long_only,atr,atr,2.5,4.0,12,26,1633.26,1.6767,0.5769,62.8177,1118.7,4046.9,-2413.64,3,3,True,"[227.84, 584.34, 821.08]",0.6923,0.7143,1.0,521.25
X00251,emapmo,long_only,atr,atr,1.5,2.0,6,48,1900.98,1.6685,0.5625,39.6037,940.66,4744.52,-2843.54,3,3,True,"[722.66, 566.66, 611.66]",0.6667,0.7143,0.6667,538.29
X00452,emapmo,long_only,range15_pct,range15_pct,1.0,1.5,48,34,2153.34,1.6474,0.5,63.3335,1107.7,5479.42,-3326.08,3,3,True,"[732.12, 788.86, 632.36]",0.6429,0.7143,0.6667,536.43
X00364,emapmo,long_only,atr,atr,1.5,1.5,24,40,1848.9,1.6357,0.575,46.2225,902.2,4757.48,-2908.58,3,3,True,"[234.64, 1444.88, 169.38]",0.7143,0.7143,0.6667,483.32
X00331,emapmo,long_only,atr_blend,atr_blend,2.5,1.5,12,37,1637.12,1.6205,0.6216,44.2465,1074.46,4275.48,-2638.36,3,3,True,"[656.38, 891.62, 89.12]",0.7143,0.8571,1.0,529.43
X00451,emapmo,long_only,range15_pct,range15_pct,1.0,1.0,48,38,1963.88,1.6148,0.5789,51.6811,1107.7,5158.22,-3194.34,3,3,True,"[254.88, 970.38, 738.62]",0.7143,0.7143,0.6667,557.51
X00422,emapmo,long_only,atr,atr,1.5,2.0,48,37,1924.12,1.6068,0.5135,52.0032,1151.92,5094.94,-3170.82,3,3,True,"[106.88, 1570.62, 246.62]",0.5714,0.7143,0.6667,646.62
X00421,emapmo,long_only,atr,atr,1.5,1.5,48,40,1756.4,1.5853,0.575,43.91,902.2,4757.48,-3001.08,3,3,True,"[234.64, 1352.38, 169.38]",0.6429,0.7143,0.6667,481.97
X00332,emapmo,long_only,atr_blend,atr_blend,2.5,2.0,12,32,1571.32,1.5832,0.5312,49.1037,1091.7,4265.42,-2694.1,3,3,True,"[97.86, 944.36, 529.1]",0.5714,0.7143,1.0,572.79
X00252,emapmo,long_only,atr,atr,1.5,4.0,6,45,1612.7,1.5773,0.5333,35.8378,887.16,4406.24,-2793.54,3,3,True,"[399.4, 300.9, 912.4]",0.7333,0.8571,1.0,395.63
X00275,emapmo,long_only,atr_blend,atr_blend,2.5,2.0,6,44,1466.44,1.5757,0.5682,33.3282,1106.2,4013.5,-2547.06,3,3,True,"[576.9, 374.4, 515.14]",0.6,0.7143,0.6667,615.6
X00399,emapmo,long_only,range15_pct,range15_pct,1.25,2.0,24,26,1627.26,1.5667,0.5,62.5869,1161.46,4498.88,-2871.62,3,3,True,"[37.84, 1306.34, 283.08]",0.7857,0.7143,0.6667,495.17
X01565,momentum_reversion,all,atr,atr,2.0,1.5,48,99,2089.74,1.56,0.6566,21.1085,554.24,5821.4,-3731.66,3,3,True,"[38.08, 714.58, 1337.08]",0.6596,0.75,0.75,278.73
X00396,emapmo,long_only,range15_pct,range15_pct,1.0,2.0,24,29,1689.54,1.5549,0.4483,58.26,1107.7,4734.38,-3044.84,3,3,True,"[91.6, 1289.1, 308.84]",0.6429,0.7143,0.6667,476.59
X01871,momentum_reversion,short_only,atr_blend,atr_blend,2.5,2.0,6,45,826.2,1.5546,0.5556,18.36,365.96,2316.0,-1489.8,3,3,True,"[147.9, 178.4, 499.9]",0.5556,0.8182,1.0,156.71
X00259,emapmo,long_only,atr,atr,2.5,2.0,6,44,1456.44,1.5531,0.5682,33.1009,1133.2,4089.5,-2633.06,3,3,True,"[614.9, 325.4, 516.14]",0.6,0.7143,0.6667,627.92
X00454,emapmo,long_only,range15_pct,range15_pct,1.25,1.0,48,35,1735.1,1.5475,0.6286,49.5743,1165.68,4904.22,-3169.12,3,3,True,"[111.62, 972.62, 650.86]",0.6429,0.7143,0.6667,589.85
