signal_family,group,signals,h1_direction_acc,h1_avg_ret_points,h1_peak_capture_rate,h1_wrong_short_right_long_rate,h3_direction_acc,h3_avg_ret_points,h3_peak_capture_rate,h3_wrong_short_right_long_rate,h6_direction_acc,h6_avg_ret_points,h6_peak_capture_rate,h6_wrong_short_right_long_rate,h12_direction_acc,h12_avg_ret_points,h12_peak_capture_rate,h12_wrong_short_right_long_rate,h24_direction_acc,h24_avg_ret_points,h24_peak_capture_rate,h24_wrong_short_right_long_rate,h48_direction_acc,h48_avg_ret_points,h48_peak_capture_rate,h48_wrong_short_right_long_rate,side,session,cluster_kind,week,month
emapmo,signal_family,828,0.4964,1.452,0.1993,0.0,0.5036,3.1247,0.2585,0.1437,0.4964,4.5861,0.2464,0.1558,0.4722,5.5471,0.1944,0.1341,0.4601,10.1286,0.1546,0.1171,0.4976,18.5377,0.122,0.163,,,,,
icefishball,signal_family,776,0.4832,0.0496,0.1856,0.0,0.4536,-2.9343,0.2113,0.1147,0.5,-3.0393,0.201,0.1662,0.4523,-4.905,0.1662,0.1585,0.4626,-8.0989,0.1134,0.1379,0.4768,-0.1469,0.0825,0.1611,,,,,
momentum_reversion,signal_family,194,0.5258,1.1959,0.2474,0.0,0.5309,1.6946,0.299,0.1082,0.5412,1.6443,0.268,0.1392,0.4588,-2.9704,0.1856,0.1392,0.433,-7.3157,0.1289,0.0928,0.4588,-7.2912,0.1186,0.1546,,,,,
emapmo,signal_family+side,186,0.5215,7.6183,0.1989,0.0,0.5323,17.1344,0.2849,0.1559,0.586,24.9046,0.2957,0.2043,0.5806,34.6169,0.2742,0.1559,0.6129,64.5134,0.2366,0.1344,0.7097,95.1815,0.2312,0.2151,long,,,,
emapmo,signal_family+side,642,0.4891,-0.3345,0.1994,0.0,0.4953,-0.9342,0.2508,0.1402,0.4704,-1.3006,0.2321,0.1417,0.4408,-2.875,0.1713,0.1277,0.4159,-5.6277,0.1308,0.1121,0.4361,-3.6674,0.0903,0.148,short,,,,
icefishball,signal_family+side,297,0.4848,-1.3476,0.1785,0.0,0.4343,-4.1768,0.165,0.1111,0.4848,-7.7626,0.1616,0.1582,0.431,-14.8645,0.138,0.1549,0.4747,-22.3805,0.1178,0.1347,0.5152,-14.1322,0.0909,0.1717,long,,,,
icefishball,signal_family+side,479,0.4823,0.916,0.19,0.0,0.4656,-2.1639,0.2401,0.1169,0.5094,-0.1106,0.2255,0.1712,0.4656,1.2704,0.1837,0.1608,0.4551,0.7563,0.1106,0.1399,0.453,8.5245,0.0772,0.1545,short,,,,
momentum_reversion,signal_family+side,94,0.5532,-0.3378,0.2979,0.0,0.5745,-0.1968,0.3085,0.1064,0.5638,-0.2739,0.2553,0.1489,0.5106,-0.3298,0.1596,0.1809,0.4787,7.8085,0.117,0.1064,0.5851,22.2394,0.1064,0.1809,long,,,,
momentum_reversion,signal_family+side,100,0.5,2.6375,0.2,0.0,0.49,3.4725,0.29,0.11,0.52,3.4475,0.28,0.13,0.41,-5.4525,0.21,0.1,0.39,-21.5325,0.14,0.08,0.34,-35.05,0.13,0.13,short,,,,
emapmo,signal_family+session,59,0.4915,2.839,0.1695,0.0,0.5932,12.3008,0.2712,0.1695,0.6102,24.0,0.322,0.2034,0.5763,20.5169,0.2881,0.1186,0.5593,28.5466,0.2712,0.0508,0.5593,55.9576,0.2712,0.0508,,AH,,,
emapmo,signal_family+session,286,0.4965,2.5341,0.2133,0.0,0.528,4.3531,0.2692,0.1503,0.472,3.2614,0.2448,0.1434,0.4545,8.5734,0.1993,0.1329,0.5385,29.7386,0.1643,0.1748,0.5245,44.1862,0.1503,0.1818,,ASIA,,,
emapmo,signal_family+session,67,0.6119,3.0224,0.209,0.0,0.5672,3.2612,0.3284,0.1194,0.5821,3.6231,0.2836,0.1194,0.5075,-10.7537,0.2388,0.1045,0.4478,-16.3396,0.0896,0.1493,0.4328,-7.7761,0.0597,0.209,,EURO,,,
emapmo,signal_family+session,24,0.625,11.5833,0.4583,0.0,0.6667,22.7083,0.5417,0.125,0.9167,47.2708,0.5417,0.3333,0.9583,72.1562,0.5417,0.25,0.7083,51.9792,0.5417,0.0,0.2083,-74.2188,0.1667,0.0,,PRE,,,
emapmo,signal_family+session,392,0.4694,-0.4349,0.176,0.0,0.4515,-0.375,0.2194,0.1403,0.4566,0.1818,0.2117,0.1531,0.4337,-0.206,0.148,0.1352,0.375,-4.9892,0.1173,0.0867,0.4974,4.3693,0.0867,0.1684,,RTH,,,
icefishball,signal_family+session,35,0.4571,-1.8929,0.0571,0.0,0.3714,-7.8143,0.0857,0.0571,0.4,-9.5143,0.0857,0.0857,0.4571,-13.4714,0.1429,0.1714,0.4857,-24.0857,0.1429,0.0857,0.5143,-16.9643,0.1143,0.1143,,AH,,,
icefishball,signal_family+session,314,0.4331,-1.5295,0.1624,0.0,0.4427,-3.2086,0.1975,0.1401,0.4682,-4.2452,0.1783,0.1911,0.3981,-8.0143,0.1465,0.121,0.449,-8.2699,0.1083,0.1624,0.4618,-6.6951,0.0764,0.1815,,ASIA,,,
icefishball,signal_family+session,133,0.5714,1.3853,0.2481,0.0,0.4361,-3.735,0.2556,0.0752,0.5789,1.547,0.218,0.1579,0.5038,-3.7444,0.1654,0.2481,0.5113,5.0526,0.0977,0.1278,0.5639,14.1335,0.0677,0.188,,EURO,,,
icefishball,signal_family+session,78,0.4615,2.8974,0.2179,0.0,0.5256,1.9038,0.2308,0.141,0.5128,-1.6859,0.1923,0.1795,0.5128,2.8141,0.1282,0.1667,0.4615,6.7596,0.0769,0.1538,0.4359,-4.5353,0.0641,0.2051,,PRE,,,
icefishball,signal_family+session,216,0.5139,0.809,0.1898,0.0,0.4676,-2.9988,0.2176,0.1019,0.5093,-3.5498,0.2454,0.1435,0.4769,-2.4988,0.213,0.1528,0.4491,-18.7234,0.1389,0.1111,0.4537,4.8889,0.1019,0.1065,,RTH,,,
momentum_reversion,signal_family+session,2,1.0,18.125,0.0,0.0,1.0,7.375,1.0,0.0,1.0,9.5,0.5,0.0,0.0,-26.125,0.0,0.0,0.5,2.125,0.0,0.0,0.5,-21.875,0.0,0.5,,AH,,,
momentum_reversion,signal_family+session,124,0.4677,-5.3206,0.1935,0.0,0.4355,-6.8569,0.2339,0.0726,0.4919,-3.7379,0.2258,0.121,0.4516,-9.1673,0.1371,0.1855,0.3871,-16.9496,0.0806,0.0968,0.4355,-10.5262,0.0806,0.129,,ASIA,,,
momentum_reversion,signal_family+session,20,0.5,4.3,0.25,0.0,0.65,9.625,0.3,0.25,0.8,24.4,0.4,0.4,0.6,33.3375,0.4,0.05,0.7,40.575,0.4,0.05,0.6,-1.0375,0.35,0.1,,EURO,,,
momentum_reversion,signal_family+session,11,0.7273,5.0682,0.0909,0.0,0.5455,-4.4318,0.1818,0.0909,0.1818,-26.6591,0.0909,0.0,0.0,-63.0909,0.0,0.0,0.5455,33.9318,0.0,0.3636,0.9091,104.9773,0.0,0.9091,,PRE,,,
momentum_reversion,signal_family+session,37,0.6486,19.2905,0.4865,0.0,0.7568,27.5811,0.5135,0.1622,0.6486,15.3716,0.3784,0.1081,0.5676,17.2973,0.2973,0.0811,0.4054,-13.6892,0.1892,0.027,0.3243,-32.4189,0.1622,0.027,,RTH,,,
emapmo,signal_family+cluster_kind,3,0.6667,20.5833,0.6667,0.0,1.0,8.25,0.6667,0.3333,0.6667,11.3333,0.3333,0.0,0.3333,9.5833,0.3333,0.0,0.6667,4.4167,0.3333,0.0,0.0,-69.1667,0.0,0.0,,,all3_mixed,,
emapmo,signal_family+cluster_kind,95,0.5158,2.2526,0.2737,0.0,0.4842,5.9921,0.3158,0.1263,0.4737,9.2842,0.2842,0.1579,0.5158,15.6079,0.2421,0.1684,0.5789,36.7816,0.2211,0.1789,0.6,58.8974,0.1789,0.2105,,,mixed,,
emapmo,signal_family+cluster_kind,708,0.5,1.9251,0.1921,0.0,0.5113,3.4778,0.2556,0.1455,0.4972,3.4866,0.2472,0.1511,0.4675,3.8393,0.1921,0.1243,0.4477,7.0784,0.1483,0.1116,0.4873,13.3761,0.1172,0.1582,,,same_family,,
emapmo,signal_family+cluster_kind,22,0.2727,-19.8409,0.0455,0.0,0.2727,-21.3182,0.0455,0.1364,0.5455,18.7614,0.0455,0.3182,0.4545,16.5114,0.0455,0.3182,0.3182,-6.0227,0.0455,0.0455,0.4545,22.3295,0.0455,0.1364,,,solo,,
icefishball,signal_family+cluster_kind,2,0.5,7.0,0.0,0.0,0.5,-2.5,0.0,0.5,0.5,-17.125,0.0,0.0,0.5,-8.5,0.0,0.5,0.5,-0.375,0.0,0.0,1.0,90.125,0.0,0.5,,,all3_mixed,,
icefishball,signal_family+cluster_kind,41,0.4878,1.4573,0.1951,0.0,0.4634,3.5366,0.2439,0.0732,0.4878,5.9573,0.1707,0.1463,0.4146,-0.5183,0.122,0.122,0.3415,-14.6829,0.122,0.0488,0.4146,10.1463,0.122,0.0976,,,mixed,,
