signal_id,signal_family,signal_subtype,direction,side,signal_time,entry_time,source_i,entry_i,entry,source_close,atr14,atr50,range15,session,trade_date,week,month,pmo,pmo_signal,kdj_j,rsi14,mom_norm,rev_z,cluster_size,cluster_kind,cluster_families,zone_15m_id,zone_15m_state,zone_15m_poc,zone_15m_vah,zone_15m_val,zone_15m_high,zone_15m_low,zone_15m_width,zone_15m_age_min,zone_30m_id,zone_30m_state,zone_30m_poc,zone_30m_vah,zone_30m_val,zone_30m_high,zone_30m_low,zone_30m_width,zone_30m_age_min,zone_1h_id,zone_1h_state,zone_1h_poc,zone_1h_vah,zone_1h_val,zone_1h_high,zone_1h_low,zone_1h_width,zone_1h_age_min,zone_2h_state,zone_4h_state,zone_2h_id,zone_2h_poc,zone_2h_vah,zone_2h_val,zone_2h_high,zone_2h_low,zone_2h_width,zone_2h_age_min,zone_4h_id,zone_4h_poc,zone_4h_vah,zone_4h_val,zone_4h_high,zone_4h_low,zone_4h_width,zone_4h_age_min,h1_correct,h1_ret_points,h1_mfe_points,h1_mae_points,h1_peak_capture,h1_wrong_short_right_long,h3_correct,h3_ret_points,h3_mfe_points,h3_mae_points,h3_peak_capture,h3_wrong_short_right_long,h6_correct,h6_ret_points,h6_mfe_points,h6_mae_points,h6_peak_capture,h6_wrong_short_right_long,h12_correct,h12_ret_points,h12_mfe_points,h12_mae_points,h12_peak_capture,h12_wrong_short_right_long,h24_correct,h24_ret_points,h24_mfe_points,h24_mae_points,h24_peak_capture,h24_wrong_short_right_long,h48_correct,h48_ret_points,h48_mfe_points,h48_mae_points,h48_peak_capture,h48_wrong_short_right_long
icefishball:kdjma:short:2026-04-19T23:05:00+00:00,icefishball,kdjma,-1,short,2026-04-19 23:00:00+00:00,2026-04-19 23:05:00+00:00,12,13,26937.5,26937.5,30.153846153846153,30.153846153846153,20.75,ASIA,2026-04-20,2026-W16,2026-04,1.4278467083484838,1.4548078984929116,117.75438407301182,95.83633218725723,,0.7853516514015164,2,same_family,icefishball,B0004,inside_va,26936.75,26942.75,26919.0,26943.0,26903.25,39.75,6,B0002,inside_va,26936.75,26942.75,26906.5,26943.0,26887.0,56.0,6,B0001,above_vah,26903.75,26926.5,26838.25,26943.0,26804.0,139.0,6,none,none,,,,,,,,,,,,,,,,,1,10.75,19.25,14.0,0,0,1,11.75,26.25,14.0,0,0,1,11.25,26.25,14.0,0,0,1,42.25,52.25,14.0,1,0,0,-20.5,52.25,22.0,0,0,0,-23.5,52.25,46.75,0,0
icefishball:kdjma:short:2026-04-19T23:10:00+00:00,icefishball,kdjma,-1,short,2026-04-19 23:05:00+00:00,2026-04-19 23:10:00+00:00,13,14,26945.0,26945.0,29.696428571428573,29.696428571428573,23.75,ASIA,2026-04-20,2026-W16,2026-04,1.4188166526481956,1.448264035612054,116.05936741665172,95.94563874360364,,0.8884650395385936,2,same_family,icefishball,B0004,breakout_full_up,26936.75,26942.75,26919.0,26943.0,26903.25,39.75,11,B0002,breakout_full_up,26936.75,26942.75,26906.5,26943.0,26887.0,56.0,11,B0001,breakout_full_up,26903.75,26926.5,26838.25,26943.0,26804.0,139.0,11,none,none,,,,,,,,,,,,,,,,,1,22.5,26.75,6.5,0,0,1,16.25,33.75,6.5,1,0,1,19.25,33.75,6.5,1,0,1,55.5,59.75,6.5,1,0,0,-21.5,59.75,24.75,0,0,0,-13.5,59.75,39.25,0,0
momentum_reversion:m200r5_0362:long:2026-04-20T04:05:00+00:00,momentum_reversion,m200r5_0362,1,long,2026-04-20 04:00:00+00:00,2026-04-20 04:05:00+00:00,72,73,26943.25,26944.5,8.535714285714286,12.955,16.5,ASIA,2026-04-20,2026-W17,2026-04,0.6449786253933003,0.6981435288590689,9.076810116532158,41.77473120240348,0.49088075812655585,-1.2014413921509661,1,solo,momentum_reversion,B0024,breakout_full_down,26951.25,26954.25,26947.0,26957.25,26944.75,12.5,6,B0012,breakout_full_down,26951.25,26964.0,26946.25,26970.5,26944.75,25.75,6,B0006,breakout_full_down,26961.25,26966.5,26950.5,26972.0,26944.75,27.25,6,breakout_full_down,inside_va,B0003,26960.5,26971.25,26955.75,26975.5,26944.75,30.75,6.0,B0002,26965.25,26982.0,26913.0,26984.25,26885.25,99.0,6.0,1,1.75,8.25,2.75,0,0,1,0.25,8.25,8.75,0,0,0,-8.5,8.25,19.0,0,0,0,-0.75,8.25,19.0,0,0,0,-22.25,8.25,61.75,0,0,0,-49.0,47.5,61.75,0,0
icefishball:kdjma:long:2026-04-20T05:35:00+00:00,icefishball,kdjma,1,long,2026-04-20 05:30:00+00:00,2026-04-20 05:35:00+00:00,90,91,26915.5,26915.25,10.571428571428571,9.63,40.5,ASIA,2026-04-20,2026-W17,2026-04,0.46346942484803855,0.5067688766835325,10.241871896456885,28.959368829485925,-0.691748238161833,-1.717152586156747,1,solo,icefishball,B0030,breakout_full_down,26930.75,26937.25,26918.25,26945.25,26916.5,28.75,6,B0015,breakout_full_down,26942.0,26947.5,26923.0,26948.25,26916.5,31.75,6,B0007,breakout_full_down,26941.75,26949.25,26934.25,26951.5,26924.25,27.25,36,breakout_full_down,inside_va,B0003,26960.5,26971.25,26955.75,26975.5,26944.75,30.75,96.0,B0002,26965.25,26982.0,26913.0,26984.25,26885.25,99.0,96.0,0,-31.0,2.25,34.0,0,0,0,-10.25,2.25,34.0,0,0,1,5.5,16.0,34.0,0,1,1,11.75,25.5,34.0,0,1,1,19.0,75.25,34.0,0,0,1,56.5,75.25,34.0,0,0
icefishball:kdjma:short:2026-04-20T07:25:00+00:00,icefishball,kdjma,-1,short,2026-04-20 07:20:00+00:00,2026-04-20 07:25:00+00:00,112,113,26972.75,26973.0,18.410714285714285,13.54,31.25,EURO,2026-04-20,2026-W17,2026-04,0.307198191330304,0.3327875519208489,82.46682610944524,69.13340636573214,0.2447621312138086,1.1452915838713058,1,solo,icefishball,B0037,inside_va,26966.75,26976.25,26960.0,26981.5,26951.5,30.0,11,B0018,breakout_full_up,26926.5,26953.25,26917.75,26970.0,26916.75,53.25,26,B0009,breakout_full_up,26921.5,26951.0,26914.0,26970.0,26902.75,67.25,26,breakout_full_up,inside_va,B0004,26941.75,26951.0,26901.5,26951.5,26881.5,70.0,86.0,B0002,26965.25,26982.0,26913.0,26984.25,26885.25,99.0,206.0,1,27.75,59.5,2.25,1,0,1,38.25,59.5,2.25,1,0,1,34.5,59.5,2.25,1,0,1,30.0,84.75,2.25,1,0,1,4.75,84.75,16.25,0,0,1,15.75,84.75,28.25,0,0
icefishball:kdjma:short:2026-04-20T09:00:00+00:00,icefishball,kdjma,-1,short,2026-04-20 08:55:00+00:00,2026-04-20 09:00:00+00:00,131,132,26965.25,26965.0,19.482142857142858,18.29,42.0,EURO,2026-04-20,2026-W17,2026-04,0.21310580452853997,0.23223815449669624,96.1816203827511,62.28904519777059,0.5153556076791364,1.1682482478114138,1,solo,icefishball,B0044,inside_va,26953.0,26968.75,26943.0,26978.0,26936.0,42.0,1,B0022,above_vah,26938.75,26963.75,26932.5,26978.0,26929.5,48.5,1,B0011,above_vah,26939.5,26949.25,26891.25,26978.0,26888.0,90.0,1,inside_va,inside_va,B0005,26921.5,26968.25,26916.0,26990.75,26902.75,88.0,61.0,B0003,26935.25,26965.75,26900.5,26990.75,26881.5,109.25,61.0,0,-8.5,3.5,23.75,0,0,1,0.25,10.5,23.75,0,1,0,-4.5,10.5,23.75,0,0,0,-10.0,10.5,23.75,0,0,1,13.0,15.75,35.75,0,1,0,-65.5,15.75,78.75,0,0
icefishball:kdjma:short:2026-04-20T09:10:00+00:00,icefishball,kdjma,-1,short,2026-04-20 09:05:00+00:00,2026-04-20 09:10:00+00:00,133,134,26974.5,26973.75,19.589285714285715,18.455,40.5,EURO,2026-04-20,2026-W17,2026-04,0.20705154840766016,0.22435855296355034,85.53624268795133,65.12030407089307,0.6356264576728601,1.1599770187754568,1,solo,icefishball,B0044,above_vah,26953.0,26968.75,26943.0,26978.0,26936.0,42.0,11,B0022,above_vah,26938.75,26963.75,26932.5,26978.0,26929.5,48.5,11,B0011,above_vah,26939.5,26949.25,26891.25,26978.0,26888.0,90.0,11,above_vah,above_vah,B0005,26921.5,26968.25,26916.0,26990.75,26902.75,88.0,71.0,B0003,26935.25,26965.75,26900.5,26990.75,26881.5,109.25,71.0,1,9.5,19.75,1.25,1,0,1,6.5,19.75,1.25,1,0,0,-3.5,19.75,7.5,1,0,0,-10.75,19.75,26.5,0,0,1,0.25,25.0,26.5,0,1,0,-66.75,25.0,97.75,0,0
icefishball:kdjma:long:2026-04-20T15:10:00+00:00,icefishball,kdjma,1,long,2026-04-20 15:05:00+00:00,2026-04-20 15:10:00+00:00,205,206,26872.0,26872.0,47.982142857142854,32.115,104.25,RTH,2026-04-20,2026-W17,2026-04,0.06247162745686436,0.07691210889439244,9.21109913834443,28.224286034640855,-0.3756602266936162,-1.6446261472060777,1,solo,icefishball,B0068,breakout_full_down,26963.75,26990.0,26910.25,26990.75,26881.5,109.25,11,B0034,breakout_full_down,26964.0,27008.75,26921.5,27011.0,26881.5,129.5,11,B0017,breakout_full_down,26999.5,27057.5,26942.0,27058.0,26881.5,176.5,11,breakout_full_down,breakout_full_down,B0008,27026.25,27073.0,27002.75,27095.25,26971.25,124.0,71.0,B0004,26968.75,26997.5,26938.5,27001.0,26888.0,113.0,191.0,1,34.75,46.5,9.0,0,0,1,97.0,107.75,9.0,1,0,1,53.75,107.75,9.0,1,0,1,72.5,107.75,9.0,1,0,1,93.0,107.75,9.0,1,0,1,136.75,145.5,9.0,1,0
icefishball:kdjma:short:2026-04-20T20:40:00+00:00,icefishball,kdjma,-1,short,2026-04-20 20:35:00+00:00,2026-04-20 20:40:00+00:00,271,272,27067.75,27067.75,18.75,19.43,80.25,AH,2026-04-20,2026-W17,2026-04,0.03079858433341129,0.02845802052006329,97.3194424826782,74.7010446321121,0.7484057129065165,2.3749251426032667,1,solo,icefishball,B0090,breakout_full_up,27012.25,27015.0,27007.5,27017.75,27003.75,14.0,11,B0045,breakout_full_up,27014.25,27017.5,27007.75,27022.5,27003.75,18.75,11,B0022,breakout_full_up,27002.0,27009.0,26987.0,27021.5,26977.5,44.0,41,breakout_full_up,breakout_full_up,B0011,26992.25,27011.25,26985.75,27021.5,26964.75,56.75,41.0,B0006,26992.25,27011.75,26946.25,27021.5,26908.75,112.75,41.0,1,22.75,30.0,5.25,1,0,1,24.25,30.0,5.25,1,0,0,-4.5,47.0,18.75,0,0,0,-7.25,47.0,18.75,0,0,0,-1.0,47.0,18.75,0,0,0,-27.5,47.0,40.25,0,0
icefishball:kdjma:long:2026-04-21T03:25:00+00:00,icefishball,kdjma,1,long,2026-04-21 03:20:00+00:00,2026-04-21 03:25:00+00:00,340,341,27067.25,27067.25,7.607142857142857,10.03,23.75,ASIA,2026-04-21,2026-W17,2026-04,0.03309157527879446,0.036056486967965144,4.073638264582364,35.25202884253163,-0.11431707973378649,-1.6045873779526825,1,solo,icefishball,B0113,breakout_full_down,27083.0,27084.5,27075.0,27086.5,27072.75,13.75,11,B0056,breakout_full_down,27089.25,27091.0,27082.75,27092.5,27080.0,12.5,26,B0028,breakout_full_down,27088.5,27091.0,27083.0,27092.5,27077.5,15.0,26,below_val,inside_va,B0014,27091.0,27099.75,27069.5,27108.0,27053.5,54.5,86.0,B0007,27067.75,27083.75,27014.5,27086.5,26999.0,87.5,206.0,1,6.25,8.75,5.0,0,0,1,6.0,10.5,5.0,0,0,1,14.25,15.75,5.0,0,0,1,25.75,29.25,5.0,0,0,1,40.0,45.5,5.0,0,0,1,20.5,59.25,5.0,0,0
