param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0001,emapmo_normal,both,ALL,1.0,0.75,6,False,1,40,-1202.0,3641.81,0.8862,0.525,-30.05,9360.18,-10562.18,26,-988.78,2260.39,0.8591,0.5385,-38.03,6026.8,-7015.58,14,-213.22,2372.8,0.9399,0.5,-15.23,3333.38,-3546.6,False
IFB_0002,emapmo_normal,both,ALL,1.0,0.75,6,False,3,74,-3091.2,5269.4,0.8477,0.527,-41.773,17201.78,-20292.98,45,-3730.98,4667.39,0.7291,0.5111,-82.911,10042.6,-13773.58,29,639.78,2473.2,1.0981,0.5517,22.061,7159.18,-6519.4,False
IFB_0003,emapmo_normal,both,ALL,1.0,0.75,6,True,1,40,-1202.0,3641.81,0.8862,0.525,-30.05,9360.18,-10562.18,26,-988.78,2260.39,0.8591,0.5385,-38.03,6026.8,-7015.58,14,-213.22,2372.8,0.9399,0.5,-15.23,3333.38,-3546.6,False
IFB_0004,emapmo_normal,both,ALL,1.0,0.75,6,True,3,74,-3091.2,5269.4,0.8477,0.527,-41.773,17201.78,-20292.98,45,-3730.98,4667.39,0.7291,0.5111,-82.911,10042.6,-13773.58,29,639.78,2473.2,1.0981,0.5517,22.061,7159.18,-6519.4,False
IFB_0005,emapmo_normal,both,ALL,1.0,0.75,12,False,1,40,-2522.0,4861.8,0.7864,0.5,-63.05,9284.0,-11806.0,26,-1728.8,2771.4,0.7771,0.5385,-66.492,6026.8,-7755.6,14,-793.2,2372.8,0.8042,0.4286,-56.657,3257.2,-4050.4,False
IFB_0006,emapmo_normal,both,ALL,1.0,0.75,12,False,3,74,-5611.2,7789.4,0.7532,0.5135,-75.827,17125.6,-22736.8,45,-4471.0,4887.2,0.6919,0.5111,-99.356,10042.6,-14513.6,29,-1140.2,3673.2,0.8613,0.5172,-39.317,7083.0,-8223.2,False
IFB_0007,emapmo_normal,both,ALL,1.0,0.75,12,True,1,40,-2522.0,4861.8,0.7864,0.5,-63.05,9284.0,-11806.0,26,-1728.8,2771.4,0.7771,0.5385,-66.492,6026.8,-7755.6,14,-793.2,2372.8,0.8042,0.4286,-56.657,3257.2,-4050.4,False
IFB_0008,emapmo_normal,both,ALL,1.0,0.75,12,True,3,74,-5611.2,7789.4,0.7532,0.5135,-75.827,17125.6,-22736.8,45,-4471.0,4887.2,0.6919,0.5111,-99.356,10042.6,-14513.6,29,-1140.2,3673.2,0.8613,0.5172,-39.317,7083.0,-8223.2,False
IFB_0009,emapmo_normal,both,ALL,1.0,0.75,24,False,1,40,-2522.0,4861.8,0.7864,0.5,-63.05,9284.0,-11806.0,26,-1728.8,2771.4,0.7771,0.5385,-66.492,6026.8,-7755.6,14,-793.2,2372.8,0.8042,0.4286,-56.657,3257.2,-4050.4,False
IFB_0010,emapmo_normal,both,ALL,1.0,0.75,24,False,3,74,-5611.2,7789.4,0.7532,0.5135,-75.827,17125.6,-22736.8,45,-4471.0,4887.2,0.6919,0.5111,-99.356,10042.6,-14513.6,29,-1140.2,3673.2,0.8613,0.5172,-39.317,7083.0,-8223.2,False
IFB_0011,emapmo_normal,both,ALL,1.0,0.75,24,True,1,40,-2522.0,4861.8,0.7864,0.5,-63.05,9284.0,-11806.0,26,-1728.8,2771.4,0.7771,0.5385,-66.492,6026.8,-7755.6,14,-793.2,2372.8,0.8042,0.4286,-56.657,3257.2,-4050.4,False
IFB_0012,emapmo_normal,both,ALL,1.0,0.75,24,True,3,74,-5611.2,7789.4,0.7532,0.5135,-75.827,17125.6,-22736.8,45,-4471.0,4887.2,0.6919,0.5111,-99.356,10042.6,-14513.6,29,-1140.2,3673.2,0.8613,0.5172,-39.317,7083.0,-8223.2,False
IFB_0013,emapmo_normal,both,ALL,1.0,1.0,6,False,1,40,-602.03,3905.62,0.9474,0.45,-15.051,10841.57,-11443.6,26,-418.8,2131.39,0.9439,0.4615,-16.108,7044.4,-7463.2,14,-183.23,2896.61,0.954,0.4286,-13.088,3797.17,-3980.4,False
IFB_0014,emapmo_normal,both,ALL,1.0,1.0,6,False,3,74,-1541.23,4101.21,0.9287,0.4595,-20.827,20060.76,-21601.99,45,-1881.01,3860.79,0.8677,0.4667,-41.8,12340.19,-14221.2,29,339.78,2350.8,1.046,0.4483,11.717,7720.57,-7380.79,False
IFB_0015,emapmo_normal,both,ALL,1.0,1.0,6,True,1,40,-602.03,3905.62,0.9474,0.45,-15.051,10841.57,-11443.6,26,-418.8,2131.39,0.9439,0.4615,-16.108,7044.4,-7463.2,14,-183.23,2896.61,0.954,0.4286,-13.088,3797.17,-3980.4,False
IFB_0016,emapmo_normal,both,ALL,1.0,1.0,6,True,3,74,-1541.23,4101.21,0.9287,0.4595,-20.827,20060.76,-21601.99,45,-1881.01,3860.79,0.8677,0.4667,-41.8,12340.19,-14221.2,29,339.78,2350.8,1.046,0.4483,11.717,7720.57,-7380.79,False
IFB_0017,emapmo_normal,both,ALL,1.0,1.0,12,False,1,40,-1082.0,4905.6,0.9145,0.45,-27.05,11571.6,-12653.6,26,-538.8,2771.4,0.934,0.5,-20.723,7630.6,-8169.4,14,-543.2,2676.6,0.8789,0.3571,-38.8,3941.0,-4484.2,False
IFB_0018,emapmo_normal,both,ALL,1.0,1.0,12,False,3,74,-2241.21,5607.42,0.905,0.4865,-30.287,21343.19,-23584.4,45,-2230.99,3960.8,0.8505,0.4889,-49.578,12696.41,-14927.4,29,-10.22,3267.0,0.9988,0.4828,-0.352,8646.78,-8657.0,False
IFB_0019,emapmo_normal,both,ALL,1.0,1.0,12,True,1,40,-1082.0,4905.6,0.9145,0.45,-27.05,11571.6,-12653.6,26,-538.8,2771.4,0.934,0.5,-20.723,7630.6,-8169.4,14,-543.2,2676.6,0.8789,0.3571,-38.8,3941.0,-4484.2,False
IFB_0020,emapmo_normal,both,ALL,1.0,1.0,12,True,3,74,-2241.21,5607.42,0.905,0.4865,-30.287,21343.19,-23584.4,45,-2230.99,3960.8,0.8505,0.4889,-49.578,12696.41,-14927.4,29,-10.22,3267.0,0.9988,0.4828,-0.352,8646.78,-8657.0,False
IFB_0021,emapmo_normal,both,ALL,1.0,1.0,24,False,1,40,-1082.0,4905.6,0.9145,0.45,-27.05,11571.6,-12653.6,26,-538.8,2771.4,0.934,0.5,-20.723,7630.6,-8169.4,14,-543.2,2676.6,0.8789,0.3571,-38.8,3941.0,-4484.2,False
IFB_0022,emapmo_normal,both,ALL,1.0,1.0,24,False,3,74,-1501.2,5177.4,0.9363,0.4865,-20.286,22083.2,-23584.4,45,-1921.0,3960.8,0.8713,0.4889,-42.689,13006.4,-14927.4,29,419.8,3267.0,1.0485,0.4828,14.476,9076.8,-8657.0,False
IFB_0023,emapmo_normal,both,ALL,1.0,1.0,24,True,1,40,-1082.0,4905.6,0.9145,0.45,-27.05,11571.6,-12653.6,26,-538.8,2771.4,0.934,0.5,-20.723,7630.6,-8169.4,14,-543.2,2676.6,0.8789,0.3571,-38.8,3941.0,-4484.2,False
IFB_0024,emapmo_normal,both,ALL,1.0,1.0,24,True,3,74,-1501.2,5177.4,0.9363,0.4865,-20.286,22083.2,-23584.4,45,-1921.0,3960.8,0.8713,0.4889,-42.689,13006.4,-14927.4,29,419.8,3267.0,1.0485,0.4828,14.476,9076.8,-8657.0,False
IFB_0025,emapmo_normal,both,ALL,1.5,1.0,6,False,1,40,-2272.05,4681.83,0.8322,0.475,-56.801,11267.77,-13539.82,26,-2278.81,3061.39,0.7556,0.4615,-87.647,7044.4,-9323.21,14,6.76,2742.82,1.0016,0.5,0.483,4223.37,-4216.61,False
IFB_0026,emapmo_normal,both,ALL,1.5,1.0,6,False,3,72,-3793.66,6592.86,0.8456,0.5,-52.69,20773.16,-24566.82,44,-4807.22,5507.0,0.7227,0.5,-109.255,12526.39,-17333.61,28,1013.56,2480.41,1.1401,0.5,36.199,8246.77,-7233.21,False
IFB_0027,emapmo_normal,both,ALL,1.5,1.0,6,True,1,40,-2272.05,4681.83,0.8322,0.475,-56.801,11267.77,-13539.82,26,-2278.81,3061.39,0.7556,0.4615,-87.647,7044.4,-9323.21,14,6.76,2742.82,1.0016,0.5,0.483,4223.37,-4216.61,False
IFB_0028,emapmo_normal,both,ALL,1.5,1.0,6,True,3,72,-3793.66,6592.86,0.8456,0.5,-52.69,20773.16,-24566.82,44,-4807.22,5507.0,0.7227,0.5,-109.255,12526.39,-17333.61,28,1013.56,2480.41,1.1401,0.5,36.199,8246.77,-7233.21,False
IFB_0029,emapmo_normal,both,ALL,1.5,1.0,12,False,1,40,-3061.98,5829.38,0.8115,0.525,-76.55,13180.2,-16242.18,26,-3078.8,4219.0,0.7282,0.5385,-118.415,8246.8,-11325.6,14,16.82,2739.0,1.0034,0.5,1.201,4933.4,-4916.58,False
IFB_0030,emapmo_normal,both,ALL,1.5,1.0,12,False,3,72,-5013.58,7751.78,0.8276,0.5694,-69.633,24074.19,-29087.77,44,-4787.19,5343.39,0.7497,0.5682,-108.8,14335.01,-19122.2,28,-226.39,4065.6,0.9773,0.5714,-8.085,9739.18,-9965.57,False
IFB_0031,emapmo_normal,both,ALL,1.5,1.0,12,True,1,40,-3061.98,5829.38,0.8115,0.525,-76.55,13180.2,-16242.18,26,-3078.8,4219.0,0.7282,0.5385,-118.415,8246.8,-11325.6,14,16.82,2739.0,1.0034,0.5,1.201,4933.4,-4916.58,False
IFB_0032,emapmo_normal,both,ALL,1.5,1.0,12,True,3,72,-5013.58,7751.78,0.8276,0.5694,-69.633,24074.19,-29087.77,44,-4787.19,5343.39,0.7497,0.5682,-108.8,14335.01,-19122.2,28,-226.39,4065.6,0.9773,0.5714,-8.085,9739.18,-9965.57,False
IFB_0033,emapmo_normal,both,ALL,1.5,1.0,24,False,1,40,-3322.0,6089.4,0.7987,0.525,-83.05,13180.2,-16502.2,26,-3078.8,4219.0,0.7282,0.5385,-118.415,8246.8,-11325.6,14,-243.2,2739.0,0.953,0.5,-17.371,4933.4,-5176.6,False
IFB_0034,emapmo_normal,both,ALL,1.5,1.0,24,False,3,72,-4913.6,7865.0,0.8347,0.5694,-68.244,24814.2,-29727.8,44,-4477.2,5246.6,0.7659,0.5682,-101.755,14645.0,-19122.2,28,-436.4,4065.6,0.9589,0.5714,-15.586,10169.2,-10605.6,False
IFB_0035,emapmo_normal,both,ALL,1.5,1.0,24,True,1,40,-3322.0,6089.4,0.7987,0.525,-83.05,13180.2,-16502.2,26,-3078.8,4219.0,0.7282,0.5385,-118.415,8246.8,-11325.6,14,-243.2,2739.0,0.953,0.5,-17.371,4933.4,-5176.6,False
IFB_0036,emapmo_normal,both,ALL,1.5,1.0,24,True,3,72,-4913.6,7865.0,0.8347,0.5694,-68.244,24814.2,-29727.8,44,-4477.2,5246.6,0.7659,0.5682,-101.755,14645.0,-19122.2,28,-436.4,4065.6,0.9589,0.5714,-15.586,10169.2,-10605.6,False
IFB_0037,emapmo_normal,both,ALL,1.5,1.5,6,False,1,40,-1042.04,4469.43,0.923,0.475,-26.051,12497.78,-13539.82,26,-1388.8,3378.99,0.851,0.4615,-53.415,7934.41,-9323.21,14,346.76,2742.82,1.0822,0.5,24.769,4563.37,-4216.61,False
