param_id,signal_name,direction,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,session,trade_date
IFB_0894,kdjma,short,2026-04-24T19:15:00+00:00,2026-04-24T19:20:00+00:00,7197.75,7193.75,7203.75,7193.75,18.76,20.0,tp,1,RTH,2026-04-24
IFB_0894,kdjma,short,2026-04-27T01:00:00+00:00,2026-04-27T01:00:00+00:00,7190.75,7195.5,7195.5,7187.5,-24.99,-23.75,sl,0,ASIA,2026-04-27
IFB_0894,kdjma,long,2026-04-27T05:10:00+00:00,2026-04-27T05:15:00+00:00,7197.25,7194.25,7194.25,7199.25,-16.24,-15.0,sl,1,ASIA,2026-04-27
IFB_0894,kdjma,long,2026-04-27T05:40:00+00:00,2026-04-27T06:05:00+00:00,7190.0,7186.25,7186.25,7192.5,-19.99,-18.75,sl,5,ASIA,2026-04-27
IFB_0894,kdjma,long,2026-04-28T03:00:00+00:00,2026-04-28T03:10:00+00:00,7205.75,7208.0,7202.25,7208.0,10.01,11.25,tp,2,ASIA,2026-04-28
IFB_0894,kdjma,long,2026-04-28T05:15:00+00:00,2026-04-28T05:30:00+00:00,7204.5,7201.75,7201.75,7206.25,-14.99,-13.75,sl,3,ASIA,2026-04-28
IFB_0894,kdjma,long,2026-04-28T05:40:00+00:00,2026-04-28T05:40:00+00:00,7199.75,7202.0,7196.25,7202.0,10.01,11.25,tp,0,ASIA,2026-04-28
IFB_0894,kdjma,short,2026-04-29T00:00:00+00:00,2026-04-29T00:00:00+00:00,7179.5,7181.25,7181.25,7178.5,-9.99,-8.75,sl,0,ASIA,2026-04-29
IFB_0894,kdjma,short,2026-04-29T00:15:00+00:00,2026-04-29T00:15:00+00:00,7185.0,7183.5,7187.25,7183.5,6.26,7.5,tp,0,ASIA,2026-04-29
IFB_0894,kdjma,short,2026-04-29T00:35:00+00:00,2026-04-29T00:45:00+00:00,7186.5,7184.75,7189.25,7184.75,7.51,8.75,tp,2,ASIA,2026-04-29
IFB_0894,kdjma,short,2026-04-29T22:35:00+00:00,2026-04-29T23:20:00+00:00,7189.5,7179.75,7204.25,7179.75,47.51,48.75,tp,9,ASIA,2026-04-30
IFB_0894,kdjma,short,2026-04-29T23:55:00+00:00,2026-04-30T00:00:00+00:00,7191.25,7196.0,7196.0,7188.0,-24.99,-23.75,sl,1,ASIA,2026-04-30
IFB_0894,kdjma,short,2026-04-30T00:55:00+00:00,2026-04-30T01:05:00+00:00,7199.5,7196.0,7204.75,7196.0,16.26,17.5,tp,2,ASIA,2026-04-30
IFB_0894,kdjma,short,2026-05-01T00:50:00+00:00,2026-05-01T01:00:00+00:00,7259.25,7256.0,7264.25,7256.0,15.01,16.25,tp,2,ASIA,2026-05-01
IFB_0894,kdjma,short,2026-05-01T01:50:00+00:00,2026-05-01T02:25:00+00:00,7262.25,7260.0,7265.5,7260.0,10.01,11.25,tp,7,ASIA,2026-05-01
IFB_0894,kdjma,short,2026-05-01T03:35:00+00:00,2026-05-01T03:35:00+00:00,7264.0,7262.25,7266.5,7262.25,7.51,8.75,tp,0,ASIA,2026-05-01
IFB_0894,kdjma,short,2026-05-04T05:05:00+00:00,2026-05-04T05:15:00+00:00,7268.25,7274.0,7274.0,7264.5,-29.99,-28.75,sl,2,ASIA,2026-05-04
IFB_0894,kdjma,long,2026-05-04T06:45:00+00:00,2026-05-04T07:00:00+00:00,7261.5,7264.25,7257.25,7264.25,12.51,13.75,tp,3,ASIA,2026-05-04
IFB_0894,kdjma,long,2026-05-04T11:40:00+00:00,2026-05-04T11:40:00+00:00,7240.25,7247.0,7230.25,7247.0,32.51,33.75,tp,0,PRE,2026-05-04
IFB_0894,kdjma,short,2026-05-05T07:15:00+00:00,2026-05-05T07:25:00+00:00,7250.75,7247.75,7255.5,7247.75,13.76,15.0,tp,2,EURO,2026-05-05
IFB_0894,kdjma,short,2026-05-05T08:35:00+00:00,2026-05-05T09:05:00+00:00,7254.5,7251.0,7259.75,7251.0,16.26,17.5,tp,6,EURO,2026-05-05
IFB_0894,kdjma,short,2026-05-05T12:00:00+00:00,2026-05-05T12:05:00+00:00,7258.25,7262.25,7262.25,7255.5,-21.24,-20.0,sl,1,PRE,2026-05-05
IFB_0894,kdjma,short,2026-05-05T22:55:00+00:00,2026-05-05T23:55:00+00:00,7313.75,7314.25,7320.25,7309.5,-3.74,-2.5,time,12,ASIA,2026-05-06
IFB_0894,kdjma,short,2026-05-06T09:00:00+00:00,2026-05-06T09:00:00+00:00,7335.25,7330.25,7342.5,7330.25,23.76,25.0,tp,0,EURO,2026-05-06
IFB_0894,kdjma,short,2026-05-06T10:00:00+00:00,2026-05-06T10:30:00+00:00,7342.0,7353.0,7353.0,7334.75,-56.24,-55.0,sl,6,EURO,2026-05-06
IFB_0894,kdjma,short,2026-05-07T01:35:00+00:00,2026-05-07T01:40:00+00:00,7386.25,7389.75,7389.75,7383.75,-18.74,-17.5,sl,1,ASIA,2026-05-07
IFB_0894,kdjma,short,2026-05-07T06:40:00+00:00,2026-05-07T06:40:00+00:00,7397.0,7400.25,7400.25,7395.0,-17.49,-16.25,sl,0,ASIA,2026-05-07
IFB_0894,kdjma,long,2026-05-07T14:00:00+00:00,2026-05-07T14:00:00+00:00,7387.75,7392.25,7381.0,7392.25,21.26,22.5,tp,0,RTH,2026-05-07
IFB_0894,kdjma,long,2026-05-07T22:05:00+00:00,2026-05-07T22:15:00+00:00,7348.0,7356.25,7335.5,7356.25,40.01,41.25,tp,2,ASIA,2026-05-08
IFB_0894,kdjma,short,2026-05-08T00:05:00+00:00,2026-05-08T00:05:00+00:00,7366.75,7370.75,7370.75,7364.0,-21.24,-20.0,sl,0,ASIA,2026-05-08
IFB_0894,kdjma,short,2026-05-08T01:10:00+00:00,2026-05-08T02:10:00+00:00,7376.0,7376.5,7381.75,7372.0,-3.74,-2.5,time,12,ASIA,2026-05-08
IFB_0894,kdjma,long,2026-05-10T22:35:00+00:00,2026-05-10T22:55:00+00:00,7398.5,7403.0,7392.0,7403.0,21.26,22.5,tp,4,ASIA,2026-05-11
IFB_0894,kdjma,short,2026-05-11T11:35:00+00:00,2026-05-11T11:40:00+00:00,7419.0,7416.75,7422.5,7416.75,10.01,11.25,tp,1,PRE,2026-05-11
IFB_0894,kdjma,short,2026-05-11T13:50:00+00:00,2026-05-11T14:20:00+00:00,7433.75,7441.5,7441.5,7428.5,-39.99,-38.75,sl,6,RTH,2026-05-11
IFB_0894,kdjma,short,2026-05-11T22:35:00+00:00,2026-05-11T23:15:00+00:00,7442.0,7439.75,7445.25,7439.75,10.01,11.25,tp,8,ASIA,2026-05-12
IFB_0894,kdjma,long,2026-05-12T06:35:00+00:00,2026-05-12T06:50:00+00:00,7415.25,7411.25,7411.25,7418.0,-21.24,-20.0,sl,3,ASIA,2026-05-12
IFB_0894,kdjma,long,2026-05-12T07:10:00+00:00,2026-05-12T07:10:00+00:00,7403.25,7406.0,7399.0,7406.0,12.51,13.75,tp,0,EURO,2026-05-12
IFB_0894,kdjma,short,2026-05-12T22:25:00+00:00,2026-05-12T22:50:00+00:00,7426.5,7423.75,7430.75,7423.75,12.51,13.75,tp,5,ASIA,2026-05-13
IFB_0894,kdjma,long,2026-05-12T23:45:00+00:00,2026-05-12T23:45:00+00:00,7413.0,7415.25,7409.5,7415.25,10.01,11.25,tp,0,ASIA,2026-05-13
IFB_0894,kdjma,short,2026-05-13T01:25:00+00:00,2026-05-13T01:45:00+00:00,7424.0,7430.0,7430.0,7420.0,-31.24,-30.0,sl,4,ASIA,2026-05-13
IFB_0894,kdjma,short,2026-05-13T22:55:00+00:00,2026-05-13T23:05:00+00:00,7479.75,7483.0,7483.0,7477.5,-17.49,-16.25,sl,2,ASIA,2026-05-14
IFB_0894,kdjma,short,2026-05-14T00:35:00+00:00,2026-05-14T01:15:00+00:00,7485.75,7482.75,7490.25,7482.75,13.76,15.0,tp,8,ASIA,2026-05-14
IFB_0894,kdjma,short,2026-05-14T10:20:00+00:00,2026-05-14T10:20:00+00:00,7492.25,7488.0,7498.75,7488.0,20.01,21.25,tp,0,EURO,2026-05-14
IFB_0894,kdjma,long,2026-05-15T00:00:00+00:00,2026-05-15T00:00:00+00:00,7520.75,7517.75,7517.75,7522.75,-16.24,-15.0,sl,0,ASIA,2026-05-15
IFB_0894,kdjma,long,2026-05-15T01:30:00+00:00,2026-05-15T01:30:00+00:00,7504.25,7498.5,7498.5,7508.25,-29.99,-28.75,sl,0,ASIA,2026-05-15
IFB_0894,kdjma,long,2026-05-15T04:35:00+00:00,2026-05-15T04:45:00+00:00,7499.75,7494.25,7494.25,7503.25,-28.74,-27.5,sl,2,ASIA,2026-05-15
IFB_0894,kdjma,long,2026-05-17T23:30:00+00:00,2026-05-17T23:40:00+00:00,7414.5,7406.5,7406.5,7419.75,-41.24,-40.0,sl,2,ASIA,2026-05-18
IFB_0894,kdjma,long,2026-05-18T01:25:00+00:00,2026-05-18T01:50:00+00:00,7380.25,7388.5,7368.0,7388.5,40.01,41.25,tp,5,ASIA,2026-05-18
IFB_0894,kdjma,short,2026-05-18T07:05:00+00:00,2026-05-18T07:10:00+00:00,7397.75,7392.25,7406.0,7392.25,26.26,27.5,tp,1,EURO,2026-05-18
IFB_0894,kdjma,long,2026-05-19T02:20:00+00:00,2026-05-19T02:25:00+00:00,7408.25,7414.25,7399.25,7414.25,28.76,30.0,tp,1,ASIA,2026-05-19
IFB_0894,kdjma,long,2026-05-19T04:20:00+00:00,2026-05-19T04:35:00+00:00,7402.5,7406.5,7396.5,7406.5,18.76,20.0,tp,3,ASIA,2026-05-19
IFB_0894,kdjma,long,2026-05-19T13:35:00+00:00,2026-05-19T13:35:00+00:00,7384.25,7390.75,7374.25,7390.75,31.26,32.5,tp,0,RTH,2026-05-19
IFB_0894,kdjma,short,2026-05-19T23:20:00+00:00,2026-05-19T23:30:00+00:00,7383.5,7389.75,7389.75,7379.5,-32.49,-31.25,sl,2,ASIA,2026-05-20
IFB_0894,kdjma,long,2026-05-20T00:10:00+00:00,2026-05-20T00:10:00+00:00,7371.0,7363.5,7363.5,7376.0,-38.74,-37.5,sl,0,ASIA,2026-05-20
IFB_0894,kdjma,long,2026-05-20T00:20:00+00:00,2026-05-20T00:25:00+00:00,7360.0,7366.0,7351.0,7366.0,28.76,30.0,tp,1,ASIA,2026-05-20
IFB_0894,kdjma,short,2026-05-21T02:20:00+00:00,2026-05-21T02:45:00+00:00,7442.0,7438.25,7447.5,7438.25,17.51,18.75,tp,5,ASIA,2026-05-21
IFB_0894,kdjma,short,2026-05-21T03:40:00+00:00,2026-05-21T04:15:00+00:00,7444.75,7448.75,7448.75,7442.0,-21.24,-20.0,sl,6,ASIA,2026-05-21
IFB_0894,kdjma,long,2026-05-21T05:50:00+00:00,2026-05-21T05:50:00+00:00,7441.25,7445.0,7435.75,7445.0,17.51,18.75,tp,0,ASIA,2026-05-21
IFB_0894,kdjma,short,2026-05-21T23:15:00+00:00,2026-05-21T23:50:00+00:00,7477.75,7481.75,7481.75,7475.0,-21.24,-20.0,sl,7,ASIA,2026-05-22
IFB_0894,kdjma,short,2026-05-22T03:55:00+00:00,2026-05-22T04:05:00+00:00,7488.25,7491.5,7491.5,7486.25,-17.49,-16.25,sl,1,ASIA,2026-05-22
IFB_0894,kdjma,short,2026-05-22T04:15:00+00:00,2026-05-22T04:35:00+00:00,7492.0,7490.0,7495.0,7490.0,8.76,10.0,tp,4,ASIA,2026-05-22
IFB_0894,kdjma,short,2026-05-26T04:25:00+00:00,2026-05-26T05:25:00+00:00,7541.5,7539.75,7551.5,7534.75,7.51,8.75,time,12,ASIA,2026-05-26
IFB_0894,kdjma,short,2026-05-26T05:35:00+00:00,2026-05-26T05:40:00+00:00,7540.25,7538.0,7543.5,7538.0,10.01,11.25,tp,1,ASIA,2026-05-26
IFB_0894,kdjma,long,2026-05-26T07:35:00+00:00,2026-05-26T07:40:00+00:00,7528.75,7532.75,7522.5,7532.75,18.76,20.0,tp,1,EURO,2026-05-26
IFB_0894,kdjma,short,2026-05-26T23:40:00+00:00,2026-05-26T23:40:00+00:00,7538.0,7541.75,7541.75,7535.5,-19.99,-18.75,sl,0,ASIA,2026-05-27
IFB_0894,kdjma,short,2026-05-26T23:50:00+00:00,2026-05-27T00:15:00+00:00,7543.0,7540.25,7547.0,7540.25,12.51,13.75,tp,5,ASIA,2026-05-27
IFB_0894,kdjma,short,2026-05-27T01:15:00+00:00,2026-05-27T01:45:00+00:00,7547.5,7544.25,7552.5,7544.25,15.01,16.25,tp,6,ASIA,2026-05-27
IFB_0894,kdjma,short,2026-05-27T22:05:00+00:00,2026-05-27T22:05:00+00:00,7555.5,7552.25,7560.5,7552.25,15.01,16.25,tp,0,ASIA,2026-05-28
IFB_0894,kdjma,long,2026-05-27T23:55:00+00:00,2026-05-27T23:55:00+00:00,7534.0,7537.75,7528.5,7537.75,17.51,18.75,tp,0,ASIA,2026-05-28
IFB_0894,kdjma,short,2026-05-28T01:00:00+00:00,2026-05-28T01:05:00+00:00,7549.0,7544.5,7555.75,7544.5,21.26,22.5,tp,1,ASIA,2026-05-28
IFB_0894,kdjma,long,2026-05-29T00:45:00+00:00,2026-05-29T01:00:00+00:00,7578.0,7574.5,7574.5,7580.5,-18.74,-17.5,sl,3,ASIA,2026-05-29
IFB_0894,kdjma,short,2026-05-29T04:20:00+00:00,2026-05-29T04:40:00+00:00,7583.5,7586.5,7586.5,7581.5,-16.24,-15.0,sl,4,ASIA,2026-05-29
IFB_0894,kdjma,short,2026-05-29T06:25:00+00:00,2026-05-29T06:25:00+00:00,7591.75,7589.75,7594.75,7589.75,8.76,10.0,tp,0,ASIA,2026-05-29
IFB_0894,kdjma,short,2026-06-01T02:05:00+00:00,2026-06-01T02:20:00+00:00,7614.75,7617.75,7617.75,7612.75,-16.24,-15.0,sl,3,ASIA,2026-06-01
IFB_0894,kdjma,short,2026-06-01T03:35:00+00:00,2026-06-01T03:35:00+00:00,7618.5,7616.5,7621.5,7616.5,8.76,10.0,tp,0,ASIA,2026-06-01
IFB_0894,kdjma,long,2026-06-01T07:45:00+00:00,2026-06-01T07:55:00+00:00,7609.0,7611.75,7605.0,7611.75,12.51,13.75,tp,2,EURO,2026-06-01
IFB_0894,kdjma,long,2026-06-01T22:10:00+00:00,2026-06-01T22:35:00+00:00,7599.75,7593.5,7593.5,7603.75,-32.49,-31.25,sl,5,ASIA,2026-06-02
IFB_0894,kdjma,long,2026-06-01T22:45:00+00:00,2026-06-01T23:35:00+00:00,7592.25,7596.75,7585.5,7596.75,21.26,22.5,tp,10,ASIA,2026-06-02
IFB_0894,kdjma,long,2026-06-02T01:05:00+00:00,2026-06-02T01:10:00+00:00,7581.75,7585.5,7576.0,7585.5,17.51,18.75,tp,1,ASIA,2026-06-02
IFB_0894,kdjma,long,2026-06-02T23:25:00+00:00,2026-06-02T23:25:00+00:00,7605.5,7608.75,7600.5,7608.75,15.01,16.25,tp,0,ASIA,2026-06-03
IFB_0894,kdjma,long,2026-06-03T06:00:00+00:00,2026-06-03T06:00:00+00:00,7619.0,7621.0,7616.0,7621.0,8.76,10.0,tp,0,ASIA,2026-06-03
IFB_0894,kdjma,long,2026-06-03T09:45:00+00:00,2026-06-03T09:55:00+00:00,7615.5,7612.0,7612.0,7617.75,-18.74,-17.5,sl,2,EURO,2026-06-03
IFB_0894,kdjma,short,2026-06-04T01:15:00+00:00,2026-06-04T01:15:00+00:00,7549.5,7545.0,7556.0,7545.0,21.26,22.5,tp,0,ASIA,2026-06-04
IFB_0894,kdjma,long,2026-06-04T02:20:00+00:00,2026-06-04T02:25:00+00:00,7531.5,7536.0,7524.5,7536.0,21.26,22.5,tp,1,ASIA,2026-06-04
IFB_0894,kdjma,short,2026-06-04T07:15:00+00:00,2026-06-04T07:20:00+00:00,7556.0,7552.75,7560.75,7552.75,15.01,16.25,tp,1,EURO,2026-06-04
IFB_0894,kdjma,long,2026-06-04T23:50:00+00:00,2026-06-05T00:00:00+00:00,7574.5,7570.5,7570.5,7577.25,-21.24,-20.0,sl,2,ASIA,2026-06-05
