param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0185,emapmo_normal,long,ALL,1.5,1.5,12,False,1,5,253.8,86.24,3.9429,0.8,50.76,340.04,-86.24,3,157.53,86.24,2.8266,0.6667,52.51,243.77,-86.24,2,96.27,0.0,999.0,1.0,48.135,96.27,0.0,False
IFB_0186,emapmo_normal,long,ALL,1.5,1.5,12,False,3,5,253.8,86.24,3.9429,0.8,50.76,340.04,-86.24,3,157.53,86.24,2.8266,0.6667,52.51,243.77,-86.24,2,96.27,0.0,999.0,1.0,48.135,96.27,0.0,False
IFB_0187,emapmo_normal,long,ALL,1.5,1.5,12,True,1,5,253.8,86.24,3.9429,0.8,50.76,340.04,-86.24,3,157.53,86.24,2.8266,0.6667,52.51,243.77,-86.24,2,96.27,0.0,999.0,1.0,48.135,96.27,0.0,False
IFB_0188,emapmo_normal,long,ALL,1.5,1.5,12,True,3,5,253.8,86.24,3.9429,0.8,50.76,340.04,-86.24,3,157.53,86.24,2.8266,0.6667,52.51,243.77,-86.24,2,96.27,0.0,999.0,1.0,48.135,96.27,0.0,False
IFB_0189,emapmo_normal,long,ALL,1.5,1.5,24,False,1,5,253.8,86.24,3.9429,0.8,50.76,340.04,-86.24,3,157.53,86.24,2.8266,0.6667,52.51,243.77,-86.24,2,96.27,0.0,999.0,1.0,48.135,96.27,0.0,False
IFB_0190,emapmo_normal,long,ALL,1.5,1.5,24,False,3,5,253.8,86.24,3.9429,0.8,50.76,340.04,-86.24,3,157.53,86.24,2.8266,0.6667,52.51,243.77,-86.24,2,96.27,0.0,999.0,1.0,48.135,96.27,0.0,False
IFB_0191,emapmo_normal,long,ALL,1.5,1.5,24,True,1,5,253.8,86.24,3.9429,0.8,50.76,340.04,-86.24,3,157.53,86.24,2.8266,0.6667,52.51,243.77,-86.24,2,96.27,0.0,999.0,1.0,48.135,96.27,0.0,False
IFB_0192,emapmo_normal,long,ALL,1.5,1.5,24,True,3,5,253.8,86.24,3.9429,0.8,50.76,340.04,-86.24,3,157.53,86.24,2.8266,0.6667,52.51,243.77,-86.24,2,96.27,0.0,999.0,1.0,48.135,96.27,0.0,False
IFB_0161,emapmo_normal,long,ALL,1.0,1.0,12,False,1,5,167.55,57.49,3.9144,0.8,33.51,225.04,-57.49,3,103.78,57.49,2.8052,0.6667,34.593,161.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0162,emapmo_normal,long,ALL,1.0,1.0,12,False,3,5,167.55,57.49,3.9144,0.8,33.51,225.04,-57.49,3,103.78,57.49,2.8052,0.6667,34.593,161.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0163,emapmo_normal,long,ALL,1.0,1.0,12,True,1,5,167.55,57.49,3.9144,0.8,33.51,225.04,-57.49,3,103.78,57.49,2.8052,0.6667,34.593,161.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0164,emapmo_normal,long,ALL,1.0,1.0,12,True,3,5,167.55,57.49,3.9144,0.8,33.51,225.04,-57.49,3,103.78,57.49,2.8052,0.6667,34.593,161.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0165,emapmo_normal,long,ALL,1.0,1.0,24,False,1,5,167.55,57.49,3.9144,0.8,33.51,225.04,-57.49,3,103.78,57.49,2.8052,0.6667,34.593,161.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0166,emapmo_normal,long,ALL,1.0,1.0,24,False,3,5,167.55,57.49,3.9144,0.8,33.51,225.04,-57.49,3,103.78,57.49,2.8052,0.6667,34.593,161.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0167,emapmo_normal,long,ALL,1.0,1.0,24,True,1,5,167.55,57.49,3.9144,0.8,33.51,225.04,-57.49,3,103.78,57.49,2.8052,0.6667,34.593,161.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0168,emapmo_normal,long,ALL,1.0,1.0,24,True,3,5,167.55,57.49,3.9144,0.8,33.51,225.04,-57.49,3,103.78,57.49,2.8052,0.6667,34.593,161.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_1201,kdjma,short,PRE_RTH,1.0,0.75,6,False,1,42,449.17,96.17,2.3565,0.7143,10.695,780.3,-331.13,30,306.55,96.17,2.3705,0.7333,10.218,530.22,-223.67,12,142.62,46.24,2.3272,0.6667,11.885,250.08,-107.46,True
IFB_1203,kdjma,short,PRE_RTH,1.0,0.75,6,True,1,42,449.17,96.17,2.3565,0.7143,10.695,780.3,-331.13,30,306.55,96.17,2.3705,0.7333,10.218,530.22,-223.67,12,142.62,46.24,2.3272,0.6667,11.885,250.08,-107.46,True
IFB_1205,kdjma,short,PRE_RTH,1.0,0.75,12,False,1,42,449.17,96.17,2.3565,0.7143,10.695,780.3,-331.13,30,306.55,96.17,2.3705,0.7333,10.218,530.22,-223.67,12,142.62,46.24,2.3272,0.6667,11.885,250.08,-107.46,True
IFB_1207,kdjma,short,PRE_RTH,1.0,0.75,12,True,1,42,449.17,96.17,2.3565,0.7143,10.695,780.3,-331.13,30,306.55,96.17,2.3705,0.7333,10.218,530.22,-223.67,12,142.62,46.24,2.3272,0.6667,11.885,250.08,-107.46,True
IFB_1209,kdjma,short,PRE_RTH,1.0,0.75,24,False,1,42,449.17,96.17,2.3565,0.7143,10.695,780.3,-331.13,30,306.55,96.17,2.3705,0.7333,10.218,530.22,-223.67,12,142.62,46.24,2.3272,0.6667,11.885,250.08,-107.46,True
IFB_1211,kdjma,short,PRE_RTH,1.0,0.75,24,True,1,42,449.17,96.17,2.3565,0.7143,10.695,780.3,-331.13,30,306.55,96.17,2.3705,0.7333,10.218,530.22,-223.67,12,142.62,46.24,2.3272,0.6667,11.885,250.08,-107.46,True
IFB_0157,emapmo_normal,long,ALL,1.0,1.0,6,False,1,5,132.55,57.49,3.3056,0.8,26.51,190.04,-57.49,3,68.78,57.49,2.1964,0.6667,22.927,126.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0158,emapmo_normal,long,ALL,1.0,1.0,6,False,3,5,132.55,57.49,3.3056,0.8,26.51,190.04,-57.49,3,68.78,57.49,2.1964,0.6667,22.927,126.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0159,emapmo_normal,long,ALL,1.0,1.0,6,True,1,5,132.55,57.49,3.3056,0.8,26.51,190.04,-57.49,3,68.78,57.49,2.1964,0.6667,22.927,126.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_0160,emapmo_normal,long,ALL,1.0,1.0,6,True,3,5,132.55,57.49,3.3056,0.8,26.51,190.04,-57.49,3,68.78,57.49,2.1964,0.6667,22.927,126.27,-57.49,2,63.77,0.0,999.0,1.0,31.885,63.77,0.0,False
IFB_1229,kdjma,short,PRE_RTH,1.5,1.0,12,False,1,42,577.92,107.47,2.2601,0.7381,13.76,1036.56,-458.64,30,401.55,107.47,2.3333,0.7667,13.385,702.73,-301.18,12,176.37,68.74,2.1201,0.6667,14.697,333.83,-157.46,True
IFB_1231,kdjma,short,PRE_RTH,1.5,1.0,12,True,1,42,577.92,107.47,2.2601,0.7381,13.76,1036.56,-458.64,30,401.55,107.47,2.3333,0.7667,13.385,702.73,-301.18,12,176.37,68.74,2.1201,0.6667,14.697,333.83,-157.46,True
IFB_1233,kdjma,short,PRE_RTH,1.5,1.0,24,False,1,42,610.42,107.47,2.3309,0.7381,14.534,1069.06,-458.64,30,434.05,107.47,2.4412,0.7667,14.468,735.23,-301.18,12,176.37,68.74,2.1201,0.6667,14.697,333.83,-157.46,True
IFB_1235,kdjma,short,PRE_RTH,1.5,1.0,24,True,1,42,610.42,107.47,2.3309,0.7381,14.534,1069.06,-458.64,30,434.05,107.47,2.4412,0.7667,14.468,735.23,-301.18,12,176.37,68.74,2.1201,0.6667,14.697,333.83,-157.46,True
IFB_0017,emapmo_normal,both,ALL,1.0,1.0,12,False,1,13,181.38,57.49,2.3196,0.6154,13.952,318.83,-137.45,8,113.83,57.49,2.1109,0.625,14.229,216.3,-102.47,5,67.55,21.24,2.9311,0.6,13.51,102.53,-34.98,False
IFB_0019,emapmo_normal,both,ALL,1.0,1.0,12,True,1,13,181.38,57.49,2.3196,0.6154,13.952,318.83,-137.45,8,113.83,57.49,2.1109,0.625,14.229,216.3,-102.47,5,67.55,21.24,2.9311,0.6,13.51,102.53,-34.98,False
IFB_0021,emapmo_normal,both,ALL,1.0,1.0,24,False,1,13,181.38,57.49,2.3196,0.6154,13.952,318.83,-137.45,8,113.83,57.49,2.1109,0.625,14.229,216.3,-102.47,5,67.55,21.24,2.9311,0.6,13.51,102.53,-34.98,False
IFB_0023,emapmo_normal,both,ALL,1.0,1.0,24,True,1,13,181.38,57.49,2.3196,0.6154,13.952,318.83,-137.45,8,113.83,57.49,2.1109,0.625,14.229,216.3,-102.47,5,67.55,21.24,2.9311,0.6,13.51,102.53,-34.98,False
IFB_0149,emapmo_normal,long,ALL,1.0,0.75,12,False,1,5,110.05,57.49,2.9142,0.8,22.01,167.54,-57.49,3,62.53,57.49,2.0877,0.6667,20.843,120.02,-57.49,2,47.52,0.0,999.0,1.0,23.76,47.52,0.0,False
