param_id,signal_name,direction,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,session,trade_date
IFB_0038,emapmo_normal,short,2026-04-22T18:30:00+00:00,2026-04-22T18:40:00+00:00,27268.75,27295.75,27295.75,27241.75,-55.24,-54.0,sl,2,RTH,2026-04-22
IFB_0038,emapmo_normal,short,2026-04-22T22:20:00+00:00,2026-04-22T22:50:00+00:00,27364.5,27355.5,27389.5,27339.5,16.76,18.0,time,6,ASIA,2026-04-23
IFB_0038,emapmo_normal,short,2026-04-24T13:00:00+00:00,2026-04-24T13:30:00+00:00,27507.5,27464.0,27551.0,27464.0,85.76,87.0,tp,6,PRE,2026-04-24
IFB_0038,emapmo_normal,short,2026-04-24T18:25:00+00:00,2026-04-24T18:55:00+00:00,27665.0,27678.25,27700.25,27629.75,-27.74,-26.5,time,6,RTH,2026-04-24
IFB_0038,emapmo_normal,short,2026-04-27T04:00:00+00:00,2026-04-27T04:00:00+00:00,27794.0,27779.5,27808.5,27779.5,27.76,29.0,tp,0,ASIA,2026-04-27
IFB_0038,emapmo_normal,short,2026-04-30T02:05:00+00:00,2026-04-30T02:25:00+00:00,27833.5,27806.0,27861.0,27806.0,53.76,55.0,tp,4,ASIA,2026-04-30
IFB_0038,emapmo_normal,short,2026-04-30T22:50:00+00:00,2026-04-30T22:50:00+00:00,27865.0,27836.75,27893.25,27836.75,55.26,56.5,tp,0,ASIA,2026-05-01
IFB_0038,emapmo_normal,short,2026-05-01T16:45:00+00:00,2026-05-01T17:15:00+00:00,28088.25,28142.5,28142.5,28034.0,-109.74,-108.5,sl,6,RTH,2026-05-01
IFB_0038,emapmo_normal,short,2026-05-05T16:40:00+00:00,2026-05-05T16:55:00+00:00,28367.75,28398.5,28398.5,28337.0,-62.74,-61.5,sl,3,RTH,2026-05-05
IFB_0038,emapmo_normal,short,2026-05-05T18:40:00+00:00,2026-05-05T19:10:00+00:00,28442.0,28442.0,28463.25,28420.75,-1.24,-0.0,time,6,RTH,2026-05-05
IFB_0038,emapmo_normal,short,2026-05-06T00:25:00+00:00,2026-05-06T00:25:00+00:00,28552.5,28519.75,28585.25,28519.75,64.26,65.5,tp,0,ASIA,2026-05-06
IFB_0038,emapmo_normal,short,2026-05-06T12:05:00+00:00,2026-05-06T12:10:00+00:00,28771.25,28724.25,28818.25,28724.25,92.76,94.0,tp,1,PRE,2026-05-06
IFB_0038,emapmo_normal,short,2026-05-06T22:10:00+00:00,2026-05-06T22:40:00+00:00,28950.0,28940.5,28994.75,28905.25,17.76,19.0,time,6,ASIA,2026-05-07
IFB_0038,emapmo_normal,short,2026-05-08T18:20:00+00:00,2026-05-08T18:50:00+00:00,29540.75,29534.0,29577.75,29503.75,12.26,13.5,time,6,RTH,2026-05-08
IFB_0038,emapmo_normal,short,2026-05-11T00:55:00+00:00,2026-05-11T01:00:00+00:00,29566.25,29527.5,29605.0,29527.5,76.26,77.5,tp,1,ASIA,2026-05-11
IFB_0038,emapmo_normal,long,2026-05-12T17:45:00+00:00,2026-05-12T18:15:00+00:00,29169.25,29211.5,29103.5,29235.0,83.26,84.5,time,6,RTH,2026-05-12
IFB_0038,emapmo_normal,short,2026-05-13T06:55:00+00:00,2026-05-13T07:25:00+00:00,29576.0,29585.75,29599.0,29553.0,-20.74,-19.5,time,6,ASIA,2026-05-13
IFB_0038,emapmo_normal,short,2026-05-13T09:25:00+00:00,2026-05-13T09:30:00+00:00,29645.75,29672.75,29672.75,29618.75,-55.24,-54.0,sl,1,EURO,2026-05-13
IFB_0038,emapmo_normal,short,2026-05-13T20:00:00+00:00,2026-05-13T20:15:00+00:00,29745.0,29789.0,29789.0,29701.0,-89.24,-88.0,sl,3,RTH,2026-05-13
