param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0662,emapmo_early,long,PRE_RTH,1.5,1.5,6,False,3,17,842.42,627.46,1.6763,0.5882,49.554,2088.1,-1245.68,8,463.58,627.46,1.6765,0.625,57.947,1148.8,-685.22,9,378.84,385.48,1.6759,0.5556,42.093,939.3,-560.46,False
IFB_0664,emapmo_early,long,PRE_RTH,1.5,1.5,6,True,3,17,842.42,627.46,1.6763,0.5882,49.554,2088.1,-1245.68,8,463.58,627.46,1.6765,0.625,57.947,1148.8,-685.22,9,378.84,385.48,1.6759,0.5556,42.093,939.3,-560.46,False
IFB_0710,emapmo_early,long,RTH,1.5,1.5,6,False,3,17,842.42,627.46,1.6763,0.5882,49.554,2088.1,-1245.68,8,463.58,627.46,1.6765,0.625,57.947,1148.8,-685.22,9,378.84,385.48,1.6759,0.5556,42.093,939.3,-560.46,False
IFB_0712,emapmo_early,long,RTH,1.5,1.5,6,True,3,17,842.42,627.46,1.6763,0.5882,49.554,2088.1,-1245.68,8,463.58,627.46,1.6765,0.625,57.947,1148.8,-685.22,9,378.84,385.48,1.6759,0.5556,42.093,939.3,-560.46,False
IFB_0614,emapmo_early,long,ALL,1.5,1.5,6,False,3,33,1416.08,526.7,1.7176,0.6364,42.912,3389.46,-1973.38,16,943.16,487.7,1.9453,0.6875,58.947,1940.86,-997.7,17,472.92,526.7,1.4847,0.5882,27.819,1448.6,-975.68,True
IFB_0616,emapmo_early,long,ALL,1.5,1.5,6,True,3,33,1416.08,526.7,1.7176,0.6364,42.912,3389.46,-1973.38,16,943.16,487.7,1.9453,0.6875,58.947,1940.86,-997.7,17,472.92,526.7,1.4847,0.5882,27.819,1448.6,-975.68,True
IFB_1117,kdjma,long,RTH,1.0,1.0,6,False,1,28,592.78,447.94,1.4761,0.5357,21.171,1837.9,-1245.12,20,367.7,447.94,1.4441,0.5,18.385,1195.6,-827.9,8,225.08,417.22,1.5395,0.625,28.135,642.3,-417.22,False
IFB_1119,kdjma,long,RTH,1.0,1.0,6,True,1,28,592.78,447.94,1.4761,0.5357,21.171,1837.9,-1245.12,20,367.7,447.94,1.4441,0.5,18.385,1195.6,-827.9,8,225.08,417.22,1.5395,0.625,28.135,642.3,-417.22,False
IFB_0622,emapmo_early,long,ALL,1.5,1.5,24,False,3,30,1049.3,664.2,1.4613,0.5333,34.977,3324.16,-2274.86,15,708.4,664.2,1.5983,0.6,47.227,1892.34,-1183.94,15,340.9,526.7,1.3125,0.4667,22.727,1431.82,-1090.92,True
IFB_0624,emapmo_early,long,ALL,1.5,1.5,24,True,3,30,1049.3,664.2,1.4613,0.5333,34.977,3324.16,-2274.86,15,708.4,664.2,1.5983,0.6,47.227,1892.34,-1183.94,15,340.9,526.7,1.3125,0.4667,22.727,1431.82,-1090.92,True
IFB_0670,emapmo_early,long,PRE_RTH,1.5,1.5,24,False,3,14,576.64,871.46,1.4306,0.5,41.189,1915.82,-1339.18,8,260.08,871.46,1.2984,0.5,32.51,1131.54,-871.46,6,316.56,385.48,1.6768,0.5,52.76,784.28,-467.72,False
IFB_0672,emapmo_early,long,PRE_RTH,1.5,1.5,24,True,3,14,576.64,871.46,1.4306,0.5,41.189,1915.82,-1339.18,8,260.08,871.46,1.2984,0.5,32.51,1131.54,-871.46,6,316.56,385.48,1.6768,0.5,52.76,784.28,-467.72,False
IFB_0718,emapmo_early,long,RTH,1.5,1.5,24,False,3,14,576.64,871.46,1.4306,0.5,41.189,1915.82,-1339.18,8,260.08,871.46,1.2984,0.5,32.51,1131.54,-871.46,6,316.56,385.48,1.6768,0.5,52.76,784.28,-467.72,False
IFB_0720,emapmo_early,long,RTH,1.5,1.5,24,True,3,14,576.64,871.46,1.4306,0.5,41.189,1915.82,-1339.18,8,260.08,871.46,1.2984,0.5,32.51,1131.54,-871.46,6,316.56,385.48,1.6768,0.5,52.76,784.28,-467.72,False
IFB_0666,emapmo_early,long,PRE_RTH,1.5,1.5,12,False,3,15,467.9,871.46,1.3356,0.4667,31.193,1862.32,-1394.42,8,260.08,871.46,1.2984,0.5,32.51,1131.54,-871.46,7,207.82,385.48,1.3974,0.4286,29.689,730.78,-522.96,False
