param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0069,emapmo_normal,both,PRE_RTH,1.0,1.0,24,False,1,25,1195.0,111.8,3.6403,0.72,47.8,1647.6,-452.6,19,839.8,111.8,3.4484,0.7368,44.2,1182.8,-343.0,6,355.2,57.8,4.2409,0.6667,59.2,464.8,-109.6,False
IFB_0071,emapmo_normal,both,PRE_RTH,1.0,1.0,24,True,1,25,1195.0,111.8,3.6403,0.72,47.8,1647.6,-452.6,19,839.8,111.8,3.4484,0.7368,44.2,1182.8,-343.0,6,355.2,57.8,4.2409,0.6667,59.2,464.8,-109.6,False
IFB_0065,emapmo_normal,both,PRE_RTH,1.0,1.0,12,False,1,25,1111.0,111.8,3.4547,0.72,44.44,1563.6,-452.6,19,839.8,111.8,3.4484,0.7368,44.2,1182.8,-343.0,6,271.2,57.8,3.4745,0.6667,45.2,380.8,-109.6,False
IFB_0067,emapmo_normal,both,PRE_RTH,1.0,1.0,12,True,1,25,1111.0,111.8,3.4547,0.72,44.44,1563.6,-452.6,19,839.8,111.8,3.4484,0.7368,44.2,1182.8,-343.0,6,271.2,57.8,3.4745,0.6667,45.2,380.8,-109.6,False
IFB_0053,emapmo_normal,both,PRE_RTH,1.0,0.75,12,False,1,25,865.0,111.8,3.2248,0.76,34.6,1253.8,-388.8,19,629.8,111.8,3.2557,0.7895,33.147,909.0,-279.2,6,235.2,57.8,3.146,0.6667,39.2,344.8,-109.6,False
IFB_0055,emapmo_normal,both,PRE_RTH,1.0,0.75,12,True,1,25,865.0,111.8,3.2248,0.76,34.6,1253.8,-388.8,19,629.8,111.8,3.2557,0.7895,33.147,909.0,-279.2,6,235.2,57.8,3.146,0.6667,39.2,344.8,-109.6,False
IFB_0057,emapmo_normal,both,PRE_RTH,1.0,0.75,24,False,1,25,865.0,111.8,3.2248,0.76,34.6,1253.8,-388.8,19,629.8,111.8,3.2557,0.7895,33.147,909.0,-279.2,6,235.2,57.8,3.146,0.6667,39.2,344.8,-109.6,False
IFB_0059,emapmo_normal,both,PRE_RTH,1.0,0.75,24,True,1,25,865.0,111.8,3.2248,0.76,34.6,1253.8,-388.8,19,629.8,111.8,3.2557,0.7895,33.147,909.0,-279.2,6,235.2,57.8,3.146,0.6667,39.2,344.8,-109.6,False
IFB_0177,emapmo_normal,long,ALL,1.5,1.0,24,False,1,18,555.6,87.8,3.1771,0.7778,30.867,810.8,-255.2,11,390.2,87.8,3.0387,0.7273,35.473,581.6,-191.4,7,165.4,63.8,3.5925,0.8571,23.629,229.2,-63.8,False
IFB_0179,emapmo_normal,long,ALL,1.5,1.0,24,True,1,18,555.6,87.8,3.1771,0.7778,30.867,810.8,-255.2,11,390.2,87.8,3.0387,0.7273,35.473,581.6,-191.4,7,165.4,63.8,3.5925,0.8571,23.629,229.2,-63.8,False
IFB_0081,emapmo_normal,both,PRE_RTH,1.5,1.0,24,False,1,25,1261.0,165.8,3.5578,0.8,50.44,1754.0,-493.0,19,827.8,165.8,3.0131,0.7895,43.568,1239.0,-411.2,6,433.2,81.8,6.2958,0.8333,72.2,515.0,-81.8,False
IFB_0083,emapmo_normal,both,PRE_RTH,1.5,1.0,24,True,1,25,1261.0,165.8,3.5578,0.8,50.44,1754.0,-493.0,19,827.8,165.8,3.0131,0.7895,43.568,1239.0,-411.2,6,433.2,81.8,6.2958,0.8333,72.2,515.0,-81.8,False
IFB_0077,emapmo_normal,both,PRE_RTH,1.5,1.0,12,False,1,25,1177.0,165.8,3.3874,0.8,47.08,1670.0,-493.0,19,827.8,165.8,3.0131,0.7895,43.568,1239.0,-411.2,6,349.2,81.8,5.269,0.8333,58.2,431.0,-81.8,False
IFB_0079,emapmo_normal,both,PRE_RTH,1.5,1.0,12,True,1,25,1177.0,165.8,3.3874,0.8,47.08,1670.0,-493.0,19,827.8,165.8,3.0131,0.7895,43.568,1239.0,-411.2,6,349.2,81.8,5.269,0.8333,58.2,431.0,-81.8,False
IFB_0221,emapmo_normal,long,PRE_RTH,1.5,1.0,12,False,1,11,744.2,87.8,5.388,0.8182,67.655,913.8,-169.6,7,585.4,87.8,7.6674,0.8571,83.629,673.2,-87.8,4,158.8,81.8,2.9413,0.75,39.7,240.6,-81.8,False
IFB_0223,emapmo_normal,long,PRE_RTH,1.5,1.0,12,True,1,11,744.2,87.8,5.388,0.8182,67.655,913.8,-169.6,7,585.4,87.8,7.6674,0.8571,83.629,673.2,-87.8,4,158.8,81.8,2.9413,0.75,39.7,240.6,-81.8,False
IFB_0397,emapmo_normal,short,RTH,1.0,1.0,6,False,1,11,432.2,111.8,3.3038,0.8182,39.291,619.8,-187.6,9,307.8,111.8,2.6407,0.7778,34.2,495.4,-187.6,2,124.4,0.0,999.0,1.0,62.2,124.4,0.0,False
IFB_0399,emapmo_normal,short,RTH,1.0,1.0,6,True,1,11,432.2,111.8,3.3038,0.8182,39.291,619.8,-187.6,9,307.8,111.8,2.6407,0.7778,34.2,495.4,-187.6,2,124.4,0.0,999.0,1.0,62.2,124.4,0.0,False
IFB_0401,emapmo_normal,short,RTH,1.0,1.0,12,False,1,11,432.2,111.8,3.3038,0.8182,39.291,619.8,-187.6,9,307.8,111.8,2.6407,0.7778,34.2,495.4,-187.6,2,124.4,0.0,999.0,1.0,62.2,124.4,0.0,False
IFB_0403,emapmo_normal,short,RTH,1.0,1.0,12,True,1,11,432.2,111.8,3.3038,0.8182,39.291,619.8,-187.6,9,307.8,111.8,2.6407,0.7778,34.2,495.4,-187.6,2,124.4,0.0,999.0,1.0,62.2,124.4,0.0,False
IFB_0405,emapmo_normal,short,RTH,1.0,1.0,24,False,1,11,432.2,111.8,3.3038,0.8182,39.291,619.8,-187.6,9,307.8,111.8,2.6407,0.7778,34.2,495.4,-187.6,2,124.4,0.0,999.0,1.0,62.2,124.4,0.0,False
IFB_0407,emapmo_normal,short,RTH,1.0,1.0,24,True,1,11,432.2,111.8,3.3038,0.8182,39.291,619.8,-187.6,9,307.8,111.8,2.6407,0.7778,34.2,495.4,-187.6,2,124.4,0.0,999.0,1.0,62.2,124.4,0.0,False
IFB_0073,emapmo_normal,both,PRE_RTH,1.5,1.0,6,False,1,25,955.0,165.8,2.7924,0.76,38.2,1487.8,-532.8,19,731.8,165.8,2.6226,0.7368,38.516,1182.8,-451.0,6,223.2,81.8,3.7286,0.8333,37.2,305.0,-81.8,False
IFB_0075,emapmo_normal,both,PRE_RTH,1.5,1.0,6,True,1,25,955.0,165.8,2.7924,0.76,38.2,1487.8,-532.8,19,731.8,165.8,2.6226,0.7368,38.516,1182.8,-451.0,6,223.2,81.8,3.7286,0.8333,37.2,305.0,-81.8,False
IFB_0421,emapmo_normal,short,RTH,1.5,1.5,6,False,1,11,588.2,165.8,3.1358,0.7273,53.473,863.6,-275.4,9,391.8,165.8,2.4226,0.6667,43.533,667.2,-275.4,2,196.4,0.0,999.0,1.0,98.2,196.4,0.0,False
