param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0022,emapmo_normal,both,ALL,1.0,1.0,24,False,3,80,1928.0,179.4,2.2751,0.625,24.1,3440.0,-1512.0,52,858.4,163.6,1.8414,0.6346,16.508,1878.6,-1020.2,28,1069.6,179.4,3.1749,0.6071,38.2,1561.4,-491.8,True
IFB_0024,emapmo_normal,both,ALL,1.0,1.0,24,True,3,80,1928.0,179.4,2.2751,0.625,24.1,3440.0,-1512.0,52,858.4,163.6,1.8414,0.6346,16.508,1878.6,-1020.2,28,1069.6,179.4,3.1749,0.6071,38.2,1561.4,-491.8,True
IFB_0018,emapmo_normal,both,ALL,1.0,1.0,12,False,3,80,1184.0,231.2,1.7553,0.6,14.8,2751.6,-1567.6,52,792.4,163.6,1.7738,0.6154,15.238,1816.4,-1024.0,28,391.6,231.2,1.7204,0.5714,13.986,935.2,-543.6,True
IFB_0020,emapmo_normal,both,ALL,1.0,1.0,12,True,3,80,1184.0,231.2,1.7553,0.6,14.8,2751.6,-1567.6,52,792.4,163.6,1.7738,0.6154,15.238,1816.4,-1024.0,28,391.6,231.2,1.7204,0.5714,13.986,935.2,-543.6,True
IFB_0034,emapmo_normal,both,ALL,1.5,1.0,24,False,3,80,2240.0,249.2,2.4179,0.7375,28.0,3819.8,-1579.8,52,834.4,249.2,1.6846,0.6923,16.046,2053.2,-1218.8,28,1405.6,153.2,4.8936,0.8214,50.2,1766.6,-361.0,True
IFB_0036,emapmo_normal,both,ALL,1.5,1.0,24,True,3,80,2240.0,249.2,2.4179,0.7375,28.0,3819.8,-1579.8,52,834.4,249.2,1.6846,0.6923,16.046,2053.2,-1218.8,28,1405.6,153.2,4.8936,0.8214,50.2,1766.6,-361.0,True
IFB_0046,emapmo_normal,both,ALL,1.5,1.5,24,False,3,80,2528.01,370.8,2.1604,0.6625,31.6,4706.61,-2178.6,52,1080.4,370.8,1.6677,0.6154,20.777,2698.4,-1618.0,28,1447.6,199.6,3.5822,0.75,51.7,2008.2,-560.6,True
IFB_0048,emapmo_normal,both,ALL,1.5,1.5,24,True,3,80,2528.01,370.8,2.1604,0.6625,31.6,4706.61,-2178.6,52,1080.4,370.8,1.6677,0.6154,20.777,2698.4,-1618.0,28,1447.6,199.6,3.5822,0.75,51.7,2008.2,-560.6,True
IFB_0010,emapmo_normal,both,ALL,1.0,0.75,24,False,3,80,1232.0,179.4,1.8938,0.65,15.4,2610.4,-1378.4,52,564.4,171.2,1.6366,0.6731,10.854,1451.0,-886.6,28,667.6,179.4,2.3575,0.6071,23.843,1159.4,-491.8,True
IFB_0012,emapmo_normal,both,ALL,1.0,0.75,24,True,3,80,1232.0,179.4,1.8938,0.65,15.4,2610.4,-1378.4,52,564.4,171.2,1.6366,0.6731,10.854,1451.0,-886.6,28,667.6,179.4,2.3575,0.6071,23.843,1159.4,-491.8,True
