param_id,side_mode,htf_minutes,sweep_buffer_ticks,reclaim_buffer_ticks,sl_buffer_ticks,min_asia_range_atr,max_sweep_atr,max_hold_bars,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
LSA_0329,short,30,0,0,4,0.5,3.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0332,short,30,0,0,4,0.5,999.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0338,short,30,0,0,4,1.0,3.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0341,short,30,0,0,4,1.0,999.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0437,short,30,4,0,4,0.5,3.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0440,short,30,4,0,4,0.5,999.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0446,short,30,4,0,4,1.0,3.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0449,short,30,4,0,4,1.0,999.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0545,short,30,8,0,4,0.5,3.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0548,short,30,8,0,4,0.5,999.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0554,short,30,8,0,4,1.0,3.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0557,short,30,8,0,4,1.0,999.0,48,22,350.22,455.7,1.3074,0.2727,15.919,1489.56,-1139.34,14,198.64,327.68,1.3031,0.2857,14.189,854.04,-655.4,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0383,short,30,0,2,4,0.5,3.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0386,short,30,0,2,4,0.5,999.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0392,short,30,0,2,4,1.0,3.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0395,short,30,0,2,4,1.0,999.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0491,short,30,4,2,4,0.5,3.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0494,short,30,4,2,4,0.5,999.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0500,short,30,4,2,4,1.0,3.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0503,short,30,4,2,4,1.0,999.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0599,short,30,8,2,4,0.5,3.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0602,short,30,8,2,4,0.5,999.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0608,short,30,8,2,4,1.0,3.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0611,short,30,8,2,4,1.0,999.0,48,22,334.72,455.7,1.2919,0.2273,15.215,1481.3,-1146.58,14,183.14,343.18,1.2764,0.2143,13.081,845.78,-662.64,8,151.58,455.7,1.3132,0.25,18.947,635.52,-483.94,False
LSA_0347,short,30,0,0,8,0.5,3.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0350,short,30,0,0,8,0.5,999.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0356,short,30,0,0,8,1.0,3.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0359,short,30,0,0,8,1.0,999.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0455,short,30,4,0,8,0.5,3.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0458,short,30,4,0,8,0.5,999.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0464,short,30,4,0,8,1.0,3.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0467,short,30,4,0,8,1.0,999.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0563,short,30,8,0,8,0.5,3.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0566,short,30,8,0,8,0.5,999.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0572,short,30,8,0,8,1.0,3.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0575,short,30,8,0,8,1.0,999.0,48,22,320.22,463.7,1.2738,0.2727,14.555,1489.56,-1169.34,14,178.64,339.68,1.2645,0.2857,12.76,854.04,-675.4,8,141.58,463.7,1.2866,0.25,17.697,635.52,-493.94,False
LSA_0365,short,30,0,0,12,0.5,3.0,48,22,304.22,471.7,1.2567,0.2727,13.828,1489.56,-1185.34,14,172.64,337.68,1.2534,0.2857,12.331,854.04,-681.4,8,131.58,471.7,1.2611,0.25,16.447,635.52,-503.94,False
LSA_0368,short,30,0,0,12,0.5,999.0,48,22,304.22,471.7,1.2567,0.2727,13.828,1489.56,-1185.34,14,172.64,337.68,1.2534,0.2857,12.331,854.04,-681.4,8,131.58,471.7,1.2611,0.25,16.447,635.52,-503.94,False
LSA_0374,short,30,0,0,12,1.0,3.0,48,22,304.22,471.7,1.2567,0.2727,13.828,1489.56,-1185.34,14,172.64,337.68,1.2534,0.2857,12.331,854.04,-681.4,8,131.58,471.7,1.2611,0.25,16.447,635.52,-503.94,False
LSA_0377,short,30,0,0,12,1.0,999.0,48,22,304.22,471.7,1.2567,0.2727,13.828,1489.56,-1185.34,14,172.64,337.68,1.2534,0.2857,12.331,854.04,-681.4,8,131.58,471.7,1.2611,0.25,16.447,635.52,-503.94,False
LSA_0473,short,30,4,0,12,0.5,3.0,48,22,304.22,471.7,1.2567,0.2727,13.828,1489.56,-1185.34,14,172.64,337.68,1.2534,0.2857,12.331,854.04,-681.4,8,131.58,471.7,1.2611,0.25,16.447,635.52,-503.94,False
LSA_0476,short,30,4,0,12,0.5,999.0,48,22,304.22,471.7,1.2567,0.2727,13.828,1489.56,-1185.34,14,172.64,337.68,1.2534,0.2857,12.331,854.04,-681.4,8,131.58,471.7,1.2611,0.25,16.447,635.52,-503.94,False
