param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,sl_atr,tp_atr,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_0966,40,0.7,12,1.1,1.0,0.75,6,False,False,RTH,3,15,880.9,40.24,22.8912,0.9333,58.727,921.14,-40.24,13,729.88,40.24,19.1382,0.9231,56.145,770.12,-40.24,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_0972,40,0.7,12,1.1,1.0,0.75,6,False,True,RTH,3,15,880.9,40.24,22.8912,0.9333,58.727,921.14,-40.24,13,729.88,40.24,19.1382,0.9231,56.145,770.12,-40.24,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_0990,40,0.7,12,1.1,1.0,0.75,12,False,False,RTH,3,15,880.9,40.24,22.8912,0.9333,58.727,921.14,-40.24,13,729.88,40.24,19.1382,0.9231,56.145,770.12,-40.24,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_0996,40,0.7,12,1.1,1.0,0.75,12,False,True,RTH,3,15,880.9,40.24,22.8912,0.9333,58.727,921.14,-40.24,13,729.88,40.24,19.1382,0.9231,56.145,770.12,-40.24,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_0965,40,0.7,12,1.1,1.0,0.75,6,False,False,RTH,1,13,756.88,40.24,19.8091,0.9231,58.222,797.12,-40.24,11,605.86,40.24,16.0562,0.9091,55.078,646.1,-40.24,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_0971,40,0.7,12,1.1,1.0,0.75,6,False,True,RTH,1,13,756.88,40.24,19.8091,0.9231,58.222,797.12,-40.24,11,605.86,40.24,16.0562,0.9091,55.078,646.1,-40.24,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_0989,40,0.7,12,1.1,1.0,0.75,12,False,False,RTH,1,13,756.88,40.24,19.8091,0.9231,58.222,797.12,-40.24,11,605.86,40.24,16.0562,0.9091,55.078,646.1,-40.24,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_0995,40,0.7,12,1.1,1.0,0.75,12,False,True,RTH,1,13,756.88,40.24,19.8091,0.9231,58.222,797.12,-40.24,11,605.86,40.24,16.0562,0.9091,55.078,646.1,-40.24,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_1350,40,0.7,20,1.1,1.0,0.75,6,False,False,RTH,3,8,579.58,40.24,15.4031,0.875,72.447,619.82,-40.24,7,451.32,40.24,12.2157,0.8571,64.474,491.56,-40.24,1,128.26,0.0,999.0,1.0,128.26,128.26,0.0,False
M200R5_1356,40,0.7,20,1.1,1.0,0.75,6,False,True,RTH,3,8,579.58,40.24,15.4031,0.875,72.447,619.82,-40.24,7,451.32,40.24,12.2157,0.8571,64.474,491.56,-40.24,1,128.26,0.0,999.0,1.0,128.26,128.26,0.0,False
M200R5_1374,40,0.7,20,1.1,1.0,0.75,12,False,False,RTH,3,8,579.58,40.24,15.4031,0.875,72.447,619.82,-40.24,7,451.32,40.24,12.2157,0.8571,64.474,491.56,-40.24,1,128.26,0.0,999.0,1.0,128.26,128.26,0.0,False
M200R5_1380,40,0.7,20,1.1,1.0,0.75,12,False,True,RTH,3,8,579.58,40.24,15.4031,0.875,72.447,619.82,-40.24,7,451.32,40.24,12.2157,0.8571,64.474,491.56,-40.24,1,128.26,0.0,999.0,1.0,128.26,128.26,0.0,False
M200R5_1349,40,0.7,20,1.1,1.0,0.75,6,False,False,RTH,1,7,513.82,40.24,13.7689,0.8571,73.403,554.06,-40.24,6,385.56,40.24,10.5815,0.8333,64.26,425.8,-40.24,1,128.26,0.0,999.0,1.0,128.26,128.26,0.0,False
M200R5_1355,40,0.7,20,1.1,1.0,0.75,6,False,True,RTH,1,7,513.82,40.24,13.7689,0.8571,73.403,554.06,-40.24,6,385.56,40.24,10.5815,0.8333,64.26,425.8,-40.24,1,128.26,0.0,999.0,1.0,128.26,128.26,0.0,False
M200R5_1373,40,0.7,20,1.1,1.0,0.75,12,False,False,RTH,1,7,513.82,40.24,13.7689,0.8571,73.403,554.06,-40.24,6,385.56,40.24,10.5815,0.8333,64.26,425.8,-40.24,1,128.26,0.0,999.0,1.0,128.26,128.26,0.0,False
M200R5_1379,40,0.7,20,1.1,1.0,0.75,12,False,True,RTH,1,7,513.82,40.24,13.7689,0.8571,73.403,554.06,-40.24,6,385.56,40.24,10.5815,0.8333,64.26,425.8,-40.24,1,128.26,0.0,999.0,1.0,128.26,128.26,0.0,False
