param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,risk_mode,sl_atr,tp_atr,sl_fixed,tp_fixed,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_4637,40,0.7,20,0.8,atr,1.0,0.75,5.192923409598214,5.192923409598214,12,False,False,RTH,1,15,3883.0,817.6,5.7493,0.8667,258.867,4700.6,-817.6,12,2844.4,817.6,4.479,0.8333,237.033,3662.0,-817.6,3,1038.6,0.0,999.0,1.0,346.2,1038.6,0.0,False
M200R5_4613,40,0.7,20,0.8,atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,False,RTH,1,15,3323.0,747.58,5.3079,0.8,221.533,4094.37,-771.38,12,2584.39,747.58,4.457,0.8333,215.366,3331.97,-747.58,3,738.6,23.8,32.0402,0.6667,246.202,762.4,-23.8,False
M200R5_4619,40,0.7,20,0.8,atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,True,RTH,1,15,3263.0,747.58,5.2301,0.8,217.534,4034.38,-771.38,12,2524.4,747.58,4.3768,0.8333,210.367,3271.98,-747.58,3,738.6,23.8,32.0402,0.6667,246.202,762.4,-23.8,False
M200R5_4643,40,0.7,20,0.8,atr,1.0,0.75,5.192923409598214,5.192923409598214,12,False,True,RTH,1,15,3563.02,817.6,5.3579,0.8667,237.535,4380.62,-817.6,12,2684.43,817.6,4.2833,0.8333,223.702,3502.03,-817.6,3,878.6,0.0,999.0,1.0,292.865,878.6,0.0,False
M200R5_3867,40,0.7,12,1.1,atr,1.0,0.75,5.192923409598214,5.192923409598214,12,False,False,PRE_RTH,1,11,2158.2,817.6,3.6397,0.8182,196.2,2975.8,-817.6,9,1395.8,817.6,2.7072,0.7778,155.089,2213.4,-817.6,2,762.4,0.0,999.0,1.0,381.2,762.4,0.0,False
M200R5_3869,40,0.7,12,1.1,atr,1.0,0.75,5.192923409598214,5.192923409598214,12,False,False,RTH,1,11,2158.2,817.6,3.6397,0.8182,196.2,2975.8,-817.6,9,1395.8,817.6,2.7072,0.7778,155.089,2213.4,-817.6,2,762.4,0.0,999.0,1.0,381.2,762.4,0.0,False
M200R5_3843,40,0.7,12,1.1,atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,False,PRE_RTH,1,11,1988.2,747.58,3.6595,0.8182,180.745,2735.78,-747.58,9,1225.8,747.58,2.6397,0.7778,136.2,1973.38,-747.58,2,762.4,0.0,999.0,1.0,381.2,762.4,0.0,False
M200R5_3845,40,0.7,12,1.1,atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,False,RTH,1,11,1988.2,747.58,3.6595,0.8182,180.745,2735.78,-747.58,9,1225.8,747.58,2.6397,0.7778,136.2,1973.38,-747.58,2,762.4,0.0,999.0,1.0,381.2,762.4,0.0,False
M200R5_3849,40,0.7,12,1.1,atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,True,PRE_RTH,1,11,1988.2,747.58,3.6595,0.8182,180.745,2735.78,-747.58,9,1225.8,747.58,2.6397,0.7778,136.2,1973.38,-747.58,2,762.4,0.0,999.0,1.0,381.2,762.4,0.0,False
M200R5_3851,40,0.7,12,1.1,atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,True,RTH,1,11,1988.2,747.58,3.6595,0.8182,180.745,2735.78,-747.58,9,1225.8,747.58,2.6397,0.7778,136.2,1973.38,-747.58,2,762.4,0.0,999.0,1.0,381.2,762.4,0.0,False
