param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,risk_mode,sl_atr,tp_atr,sl_fixed,tp_fixed,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_0034,40,0.4,12,0.8,atr,1.0,0.75,5.192923409598214,5.192923409598214,12,False,True,PRE_RTH,3,63,6160.58,3554.2,1.5584,0.6984,97.787,17192.78,-11032.2,42,3450.36,3554.2,1.4405,0.6667,82.151,11283.56,-7833.2,21,2710.21,1837.6,1.8472,0.7619,129.058,5909.21,-3199.0,True
M200R5_0010,40,0.4,12,0.8,atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,True,PRE_RTH,3,63,5580.6,3484.18,1.4926,0.6667,88.581,16910.36,-11329.77,42,3010.37,3484.18,1.3713,0.6429,71.675,11117.34,-8106.97,21,2570.22,1837.6,1.7975,0.7143,122.392,5793.02,-3222.8,True
M200R5_0418,40,0.4,12,0.8,fixed_atr_blend,1.0,0.75,5.192923409598214,5.192923409598214,12,False,True,PRE_RTH,3,64,4856.8,4024.2,1.3903,0.6562,75.887,17300.4,-12443.6,42,3360.38,4024.2,1.4145,0.6429,80.009,11467.38,-8107.0,22,1496.41,1967.6,1.3451,0.6818,68.019,5833.01,-4336.6,True
M200R5_0466,40,0.4,12,0.8,fixed_atr_blend,1.25,1.0,5.192923409598214,5.192923409598214,12,False,True,PRE_RTH,3,63,5630.59,3990.4,1.4124,0.6508,89.374,19284.2,-13653.61,41,3974.17,3990.4,1.4585,0.6341,96.931,12641.18,-8667.01,22,1656.41,2337.6,1.3322,0.6818,75.292,6643.01,-4986.6,True
M200R5_0746,40,0.4,12,0.8,max_fixed_atr,1.5,1.5,5.192923409598214,5.192923409598214,12,False,False,ALL,3,109,11145.84,5643.17,1.3291,0.5505,102.255,45012.02,-33866.18,78,8093.62,5643.17,1.3292,0.5385,103.764,32680.4,-24586.78,31,3052.22,2276.58,1.3289,0.5806,98.459,12331.62,-9279.4,True
M200R5_0586,40,0.4,12,0.8,max_fixed_atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,True,PRE_RTH,3,63,4880.6,3744.19,1.3651,0.6349,77.47,18247.96,-13367.37,42,3370.37,3744.19,1.388,0.6429,80.247,12057.34,-8686.97,21,1510.22,1433.8,1.3227,0.619,71.915,6190.62,-4680.4,True
M200R5_0388,40,0.4,12,0.8,fixed_atr_blend,1.0,0.75,5.192923409598214,5.192923409598214,6,False,False,PRE_RTH,3,63,4050.61,3464.19,1.3181,0.6032,64.295,16785.58,-12734.97,42,2630.39,3464.19,1.3141,0.5952,62.628,11004.96,-8374.57,21,1420.22,1967.6,1.3257,0.619,67.63,5780.62,-4360.4,True
M200R5_0610,40,0.4,12,0.8,max_fixed_atr,1.0,0.75,5.192923409598214,5.192923409598214,12,False,True,PRE_RTH,3,63,4500.6,4534.2,1.326,0.6349,71.438,18308.0,-13807.41,42,2850.38,4534.2,1.3115,0.619,67.866,12001.19,-9150.81,21,1650.21,1433.8,1.3544,0.6667,78.582,6306.81,-4656.6,True
M200R5_0394,40,0.4,12,0.8,fixed_atr_blend,1.0,0.75,5.192923409598214,5.192923409598214,6,False,True,PRE_RTH,3,64,4866.8,3364.19,1.3997,0.6406,76.044,17044.17,-12177.37,42,3510.38,3364.19,1.4491,0.6429,83.58,11327.35,-7816.97,22,1356.42,1967.6,1.3111,0.6364,61.656,5716.82,-4360.4,True
M200R5_0028,40,0.4,12,0.8,atr,1.0,0.75,5.192923409598214,5.192923409598214,12,False,False,PRE_RTH,3,63,5710.59,3554.2,1.4893,0.6667,90.644,17380.4,-11669.81,42,2630.39,3554.2,1.3105,0.619,62.628,11101.2,-8470.81,21,3080.2,1837.6,1.9629,0.7619,146.676,6279.2,-3199.0,True
M200R5_0226,40,0.4,12,0.8,atr_blend,1.0,0.75,5.192923409598214,5.192923409598214,12,False,True,PRE_RTH,3,63,5210.58,3260.4,1.4014,0.6984,82.708,18192.78,-12982.2,41,3764.16,3260.4,1.4546,0.6829,91.809,12043.56,-8279.4,22,1446.41,2487.6,1.3076,0.7273,65.746,6149.21,-4702.8,True
M200R5_0442,40,0.4,12,0.8,fixed_atr_blend,1.25,1.0,5.192923409598214,5.192923409598214,6,False,True,PRE_RTH,3,63,5420.6,3790.38,1.3934,0.6349,86.041,19197.96,-13777.37,41,3904.17,3790.38,1.4453,0.6341,95.224,12671.14,-8766.97,22,1516.42,2337.6,1.3027,0.6364,68.928,6526.82,-5010.4,True
M200R5_0170,40,0.4,12,0.8,atr,1.5,1.5,5.192923409598214,5.192923409598214,12,False,False,ALL,3,109,11585.84,5473.17,1.3512,0.5505,106.292,44572.02,-32986.18,78,8823.62,5473.17,1.3705,0.5385,113.123,32640.4,-23816.78,31,2762.22,2276.58,1.3012,0.5806,89.104,11931.62,-9169.4,True
M200R5_0196,40,0.4,12,0.8,atr_blend,1.0,0.75,5.192923409598214,5.192923409598214,6,False,False,PRE_RTH,3,63,4040.63,3140.38,1.2939,0.6349,64.137,17788.0,-13747.37,41,2524.21,3140.38,1.2798,0.6098,61.566,11544.98,-9020.77,22,1516.42,2487.6,1.3208,0.6818,68.928,6243.02,-4726.6,True
M200R5_0202,40,0.4,12,0.8,atr_blend,1.0,0.75,5.192923409598214,5.192923409598214,6,False,True,PRE_RTH,3,63,4780.6,3040.38,1.3641,0.6667,75.882,17910.36,-13129.77,41,3474.17,3040.38,1.4134,0.6585,84.736,11877.34,-8403.17,22,1306.42,2487.6,1.2764,0.6818,59.383,6033.02,-4726.6,True
M200R5_0004,40,0.4,12,0.8,atr,1.0,0.75,5.192923409598214,5.192923409598214,6,False,False,PRE_RTH,3,63,4710.62,3484.18,1.3974,0.6508,74.772,16564.19,-11853.57,42,2140.4,3484.18,1.248,0.619,50.962,10771.17,-8630.77,21,2570.22,1837.6,1.7975,0.7143,122.392,5793.02,-3222.8,True
