param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,risk_mode,sl_atr,tp_atr,sl_fixed,tp_fixed,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_0001,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,False,ALL,1,48,-128.27,184.58,0.7255,0.5,-2.672,338.99,-467.26,33,-98.42,138.5,0.7016,0.4545,-2.982,231.4,-329.82,15,-29.85,108.68,0.7828,0.6,-1.99,107.59,-137.44,False
M200R5_0002,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,False,ALL,3,128,-301.22,451.45,0.7695,0.5312,-2.353,1005.68,-1306.9,91,-341.59,341.59,0.657,0.4945,-3.754,654.2,-995.79,37,40.37,138.63,1.1298,0.6216,1.091,351.48,-311.11,False
M200R5_0003,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,False,PRE_RTH,1,32,170.32,91.2,1.5825,0.625,5.322,462.7,-292.38,24,33.99,91.2,1.1333,0.5833,1.416,288.89,-254.9,8,136.33,22.49,4.6374,0.75,17.041,173.81,-37.48,False
M200R5_0004,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,False,PRE_RTH,3,55,25.55,294.71,1.0354,0.5455,0.465,746.55,-721.0,41,-167.09,294.71,0.7368,0.4878,-4.075,467.7,-634.79,14,192.64,38.73,3.2345,0.7143,13.76,278.85,-86.21,False
M200R5_0005,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,False,RTH,1,29,34.04,199.85,1.0873,0.5862,1.174,423.92,-389.88,21,-93.54,199.85,0.7278,0.5238,-4.454,250.11,-343.65,8,127.58,23.74,3.7597,0.75,15.947,173.81,-46.23,False
M200R5_0006,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,False,RTH,3,47,82.97,266.04,1.1315,0.5957,1.765,714.03,-631.06,33,-142.17,266.04,0.7461,0.5152,-4.308,417.67,-559.84,14,225.14,29.97,4.1612,0.7857,16.081,296.36,-71.22,False
M200R5_0007,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,True,ALL,1,48,-128.27,184.58,0.7255,0.5,-2.672,338.99,-467.26,33,-98.42,138.5,0.7016,0.4545,-2.982,231.4,-329.82,15,-29.85,108.68,0.7828,0.6,-1.99,107.59,-137.44,False
M200R5_0008,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,True,ALL,3,128,-302.47,452.7,0.7686,0.5312,-2.363,1004.43,-1306.9,91,-342.84,342.84,0.6557,0.4945,-3.767,652.95,-995.79,37,40.37,138.63,1.1298,0.6216,1.091,351.48,-311.11,False
M200R5_0009,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,True,PRE_RTH,1,32,169.07,91.2,1.5783,0.625,5.283,461.45,-292.38,24,32.74,91.2,1.1284,0.5833,1.364,287.64,-254.9,8,136.33,22.49,4.6374,0.75,17.041,173.81,-37.48,False
M200R5_0010,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,True,PRE_RTH,3,55,24.3,295.96,1.0337,0.5455,0.442,745.3,-721.0,41,-168.34,295.96,0.7348,0.4878,-4.106,466.45,-634.79,14,192.64,38.73,3.2345,0.7143,13.76,278.85,-86.21,False
M200R5_0011,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,True,RTH,1,29,32.79,201.1,1.0841,0.5862,1.131,422.67,-389.88,21,-94.79,201.1,0.7242,0.5238,-4.514,248.86,-343.65,8,127.58,23.74,3.7597,0.75,15.947,173.81,-46.23,False
M200R5_0012,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,False,True,RTH,3,47,81.72,267.29,1.1295,0.5957,1.739,712.78,-631.06,33,-143.42,267.29,0.7438,0.5152,-4.346,416.42,-559.84,14,225.14,29.97,4.1612,0.7857,16.081,296.36,-71.22,False
M200R5_0013,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,True,False,ALL,1,35,12.85,156.11,1.0377,0.5714,0.367,353.95,-341.1,24,-69.76,147.4,0.7427,0.5,-2.907,201.37,-271.13,11,82.61,52.48,2.1806,0.7273,7.51,152.58,-69.97,False
M200R5_0014,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,True,False,ALL,3,62,-3.13,234.58,0.9946,0.5806,-0.05,577.86,-580.99,39,-122.11,202.16,0.71,0.5128,-3.131,298.95,-421.06,23,118.98,79.97,1.744,0.6957,5.173,278.91,-159.93,False
M200R5_0015,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,True,False,PRE_RTH,1,14,60.14,83.67,1.4044,0.7143,4.296,208.85,-148.71,10,-41.15,83.67,0.7233,0.6,-4.115,107.56,-148.71,4,101.29,0.0,999.0,1.0,25.323,101.29,0.0,False
M200R5_0016,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,True,False,PRE_RTH,3,16,55.16,88.65,1.3319,0.6875,3.448,221.36,-166.2,12,-46.13,88.65,0.7224,0.5833,-3.844,120.07,-166.2,4,101.29,0.0,999.0,1.0,25.323,101.29,0.0,False
M200R5_0017,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,True,False,RTH,1,13,82.63,66.19,1.7034,0.7692,6.356,200.1,-117.47,9,-18.66,66.19,0.8412,0.6667,-2.073,98.81,-117.47,4,101.29,0.0,999.0,1.0,25.323,101.29,0.0,False
M200R5_0018,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,True,False,RTH,3,14,65.14,83.68,1.4827,0.7143,4.653,200.1,-134.96,10,-36.15,83.68,0.7321,0.6,-3.615,98.81,-134.96,4,101.29,0.0,999.0,1.0,25.323,101.29,0.0,False
M200R5_0019,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,True,True,ALL,1,35,12.85,156.11,1.0377,0.5714,0.367,353.95,-341.1,24,-69.76,147.4,0.7427,0.5,-2.907,201.37,-271.13,11,82.61,52.48,2.1806,0.7273,7.51,152.58,-69.97,False
M200R5_0020,40,0.4,12,0.8,atr,1.0,0.75,4.321428571428571,4.321428571428571,6,True,True,ALL,3,62,-3.13,234.58,0.9946,0.5806,-0.05,577.86,-580.99,39,-122.11,202.16,0.71,0.5128,-3.131,298.95,-421.06,23,118.98,79.97,1.744,0.6957,5.173,278.91,-159.93,False
