param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,risk_mode,sl_atr,tp_atr,sl_fixed,tp_fixed,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_3378,40,0.7,12,0.8,atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,True,False,RTH,3,5,281.0,45.8,4.2827,0.6,56.2,366.6,-85.6,4,86.8,45.8,2.014,0.5,21.7,172.4,-85.6,1,194.2,0.0,999.0,1.0,194.2,194.2,0.0,False
M200R5_3384,40,0.7,12,0.8,atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,True,True,RTH,3,5,281.0,45.8,4.2827,0.6,56.2,366.6,-85.6,4,86.8,45.8,2.014,0.5,21.7,172.4,-85.6,1,194.2,0.0,999.0,1.0,194.2,194.2,0.0,False
M200R5_3432,40,0.7,12,0.8,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,True,True,RTH,3,5,311.0,45.8,4.6332,0.6,62.2,396.6,-85.6,4,74.8,45.8,1.8738,0.5,18.7,160.4,-85.6,1,236.2,0.0,999.0,1.0,236.2,236.2,0.0,False
M200R5_3420,40,0.7,12,0.8,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,21,772.2,193.6,2.1185,0.619,36.771,1462.6,-690.4,12,266.4,193.6,1.6328,0.5833,22.2,687.4,-421.0,9,505.8,147.8,2.8775,0.6667,56.2,775.2,-269.4,False
M200R5_3372,40,0.7,12,0.8,atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,21,610.2,193.6,1.8838,0.619,29.057,1300.6,-690.4,12,212.4,193.6,1.5045,0.5833,17.7,633.4,-421.0,9,397.8,147.8,2.4766,0.6667,44.2,667.2,-269.4,False
M200R5_3419,40,0.7,12,0.8,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,1,18,711.6,193.6,2.3115,0.6111,39.533,1254.2,-542.6,11,186.2,193.6,1.4423,0.5455,16.927,607.2,-421.0,7,525.4,93.8,5.3208,0.7143,75.057,647.0,-121.6,False
M200R5_3365,40,0.7,12,0.8,atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,False,RTH,1,18,381.6,205.6,1.5297,0.5556,21.2,1102.0,-720.4,11,162.2,193.6,1.3853,0.5455,14.745,583.2,-421.0,7,219.4,205.6,1.7328,0.5714,31.343,518.8,-299.4,False
M200R5_3222,40,0.7,12,0.8,atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,False,RTH,3,21,364.2,274.8,1.4011,0.5238,17.343,1272.2,-908.0,13,184.6,274.8,1.3388,0.5385,14.2,729.4,-544.8,8,179.6,145.6,1.4945,0.5,22.45,542.8,-363.2,False
M200R5_3798,40,0.7,12,0.8,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,False,RTH,3,21,364.2,274.8,1.4011,0.5238,17.343,1272.2,-908.0,13,184.6,274.8,1.3388,0.5385,14.2,729.4,-544.8,8,179.6,145.6,1.4945,0.5,22.45,542.8,-363.2,False
M200R5_1733,40,0.4,20,0.8,atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,False,RTH,1,21,262.2,293.4,1.4832,0.6667,12.486,804.8,-542.6,15,141.0,293.4,1.3256,0.6667,9.4,574.0,-433.0,6,121.2,109.6,2.1059,0.6667,20.2,230.8,-109.6,False
M200R5_1739,40,0.4,20,0.8,atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,True,RTH,1,21,262.2,293.4,1.4832,0.6667,12.486,804.8,-542.6,15,141.0,293.4,1.3256,0.6667,9.4,574.0,-433.0,6,121.2,109.6,2.1059,0.6667,20.2,230.8,-109.6,False
M200R5_3371,40,0.7,12,0.8,atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,True,RTH,1,18,573.6,193.6,2.0571,0.6111,31.867,1116.2,-542.6,11,132.2,193.6,1.314,0.5455,12.018,553.2,-421.0,7,441.4,93.8,4.63,0.7143,63.057,563.0,-121.6,False
M200R5_3426,40,0.7,12,0.8,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,True,False,RTH,3,5,263.0,49.6,3.9419,0.4,52.6,352.4,-89.4,4,26.8,49.6,1.2998,0.25,6.7,116.2,-89.4,1,236.2,0.0,999.0,1.0,236.2,236.2,0.0,False
M200R5_5148,40,0.7,20,0.8,fixed_atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,13,124.6,169.6,1.3092,0.6154,9.585,527.6,-403.0,8,77.6,169.6,1.3241,0.625,9.7,317.0,-239.4,5,47.0,93.8,1.2873,0.6,9.4,210.6,-163.6,False
M200R5_4764,40,0.7,20,0.8,atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,13,160.6,211.0,1.318,0.6154,12.354,665.6,-505.0,8,101.6,199.6,1.3535,0.625,12.7,389.0,-287.4,5,59.0,135.8,1.2711,0.6,11.8,276.6,-217.6,False
M200R5_4788,40,0.7,20,0.8,atr,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,True,RTH,3,13,208.6,135.8,1.4035,0.6154,16.046,725.6,-517.0,8,149.6,129.8,1.4997,0.625,18.7,449.0,-299.4,5,59.0,135.8,1.2711,0.6,11.8,276.6,-217.6,False
M200R5_5340,40,0.7,20,0.8,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,13,160.6,211.0,1.318,0.6154,12.354,665.6,-505.0,8,101.6,199.6,1.3535,0.625,12.7,389.0,-287.4,5,59.0,135.8,1.2711,0.6,11.8,276.6,-217.6,False
M200R5_5364,40,0.7,20,0.8,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,True,RTH,3,13,208.6,135.8,1.4035,0.6154,16.046,725.6,-517.0,8,149.6,129.8,1.4997,0.625,18.7,449.0,-299.4,5,59.0,135.8,1.2711,0.6,11.8,276.6,-217.6,False
M200R5_3654,40,0.7,12,0.8,max_fixed_atr,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,False,RTH,3,24,166.8,184.8,1.2475,0.5833,6.95,840.8,-674.0,14,90.8,184.8,1.2372,0.5714,6.486,473.6,-382.8,10,76.0,145.6,1.261,0.6,7.6,367.2,-291.2,False
M200R5_3660,40,0.7,12,0.8,max_fixed_atr,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,24,166.8,184.8,1.2475,0.5833,6.95,840.8,-674.0,14,90.8,184.8,1.2372,0.5714,6.486,473.6,-382.8,10,76.0,145.6,1.261,0.6,7.6,367.2,-291.2,False
M200R5_3228,40,0.7,12,0.8,atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,22,576.4,268.8,1.7294,0.5909,26.2,1366.59,-790.2,13,124.6,268.8,1.2287,0.5385,9.584,669.4,-544.8,9,451.8,135.8,2.8411,0.6667,50.2,697.2,-245.4,False
M200R5_3804,40,0.7,12,0.8,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,22,576.4,268.8,1.7294,0.5909,26.2,1366.59,-790.2,13,124.6,268.8,1.2287,0.5385,9.584,669.4,-544.8,9,451.8,135.8,2.8411,0.6667,50.2,697.2,-245.4,False
M200R5_4188,40,0.7,12,1.1,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,10,118.0,247.6,1.2412,0.6,11.8,607.2,-489.2,5,53.0,247.6,1.2141,0.6,10.6,300.6,-247.6,5,65.0,147.8,1.269,0.6,12.999,306.6,-241.6,False
M200R5_3078,40,0.7,12,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,False,RTH,3,24,154.8,196.8,1.2297,0.5833,6.45,828.8,-674.0,14,78.8,196.8,1.2059,0.5714,5.629,461.6,-382.8,10,76.0,145.6,1.261,0.6,7.6,367.2,-291.2,False
M200R5_3084,40,0.7,12,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,24,154.8,196.8,1.2297,0.5833,6.45,828.8,-674.0,14,78.8,196.8,1.2059,0.5714,5.629,461.6,-382.8,10,76.0,145.6,1.261,0.6,7.6,367.2,-291.2,False
M200R5_5094,40,0.7,20,0.8,fixed_atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,False,RTH,3,13,82.6,169.6,1.205,0.6154,6.354,485.6,-403.0,8,47.6,169.6,1.1988,0.625,5.95,287.0,-239.4,5,35.0,93.8,1.2139,0.6,7.0,198.6,-163.6,False
M200R5_5100,40,0.7,20,0.8,fixed_atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,13,82.6,169.6,1.205,0.6154,6.354,485.6,-403.0,8,47.6,169.6,1.1988,0.625,5.95,287.0,-239.4,5,35.0,93.8,1.2139,0.6,7.0,198.6,-163.6,False
M200R5_0929,40,0.4,12,1.1,atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,True,False,RTH,1,4,50.8,87.8,1.3639,0.5,12.7,190.4,-139.6,2,16.4,87.8,1.1868,0.5,8.2,104.2,-87.8,2,34.4,51.8,1.6642,0.5,17.201,86.2,-51.8,False
M200R5_0935,40,0.4,12,1.1,atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,True,True,RTH,1,4,50.8,87.8,1.3639,0.5,12.7,190.4,-139.6,2,16.4,87.8,1.1868,0.5,8.2,104.2,-87.8,2,34.4,51.8,1.6642,0.5,17.201,86.2,-51.8,False
M200R5_1505,40,0.4,12,1.1,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,True,False,RTH,1,4,50.8,87.8,1.3639,0.5,12.7,190.4,-139.6,2,16.4,87.8,1.1868,0.5,8.2,104.2,-87.8,2,34.4,51.8,1.6642,0.5,17.201,86.2,-51.8,False
M200R5_1511,40,0.4,12,1.1,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,True,True,RTH,1,4,50.8,87.8,1.3639,0.5,12.7,190.4,-139.6,2,16.4,87.8,1.1868,0.5,8.2,104.2,-87.8,2,34.4,51.8,1.6642,0.5,17.201,86.2,-51.8,False
M200R5_4374,40,0.7,12,1.1,fixed_atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,False,RTH,3,10,82.0,157.6,1.2553,0.6,8.2,403.2,-321.2,5,29.0,157.6,1.184,0.6,5.8,186.6,-157.6,5,53.0,93.8,1.324,0.6,10.6,216.6,-163.6,False
M200R5_4380,40,0.7,12,1.1,fixed_atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,RTH,3,10,82.0,157.6,1.2553,0.6,8.2,403.2,-321.2,5,29.0,157.6,1.184,0.6,5.8,186.6,-157.6,5,53.0,93.8,1.324,0.6,10.6,216.6,-163.6,False
M200R5_3418,40,0.7,12,0.8,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,PRE_RTH,3,26,627.2,244.8,1.6561,0.6154,24.123,1583.2,-956.0,17,121.4,244.8,1.1768,0.5882,7.141,808.0,-686.6,9,505.8,147.8,2.8775,0.6667,56.2,775.2,-269.4,False
M200R5_3174,40,0.7,12,0.8,atr,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,False,RTH,3,22,264.4,268.8,1.2912,0.5455,12.018,1172.4,-908.0,13,94.6,268.8,1.1736,0.5385,7.277,639.4,-544.8,9,169.8,145.6,1.4675,0.5556,18.867,533.0,-363.2,False
M200R5_3750,40,0.7,12,0.8,max_fixed_atr,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,False,RTH,3,22,264.4,268.8,1.2912,0.5455,12.018,1172.4,-908.0,13,94.6,268.8,1.1736,0.5385,7.277,639.4,-544.8,9,169.8,145.6,1.4675,0.5556,18.867,533.0,-363.2,False
